Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
JALQAR,91.65,-2.8377,0.4274,2.0059,6.3618,12.4573,9.7535,1.8944,1.5737,0.0911,19
JARCOX,82.11,-3.5958,0.287,2.1134,6.4264,12.5495,9.7372,1.9024,1.2789,0.0244,35.9
JATBIQ,63.44,-2.7263,0.3909,1.9667,6.4422,12.4119,9.755,1.8985,1.6886,0.0744,15.4
JATGIU,92.18,-2.5035,0.3796,2.1014,6.4046,12.4695,9.7463,1.9639,1.5547,0.1043,18.8
JATTOO,84.09,-2.7254,0.3933,1.9215,6.4091,12.4272,9.7704,1.9491,1.6635,0.0925,21.9
JAWJEZ,86.89,-3.1219,0.3771,1.9312,6.3578,12.4692,9.796,1.9568,1.5113,0.0916,13.4
JAYMOM,88.69,-3.23,0.5075,2.2954,6.3358,12.4742,9.6825,1.9599,1.5234,0.0778,19.8
JECPUF01,64.19,-2.7828,0.2925,1.7048,6.5452,12.3965,9.7659,1.909,1.7144,0.108,30
JEDJIM,86.23,-4.1763,0.5332,2.3882,6.312,12.5164,9.6385,1.9341,1.6464,0.0728,14.8
JEDZAT,84.52,-2.9472,0.4261,1.9151,6.3889,12.3943,9.7906,1.981,1.4402,0.0693,12
JEGTEX,75.87,-3.8977,0.4079,1.4953,6.3444,12.3492,9.8985,1.9775,1.4771,0.0113,12.1
JEKTID,100.31,-2.8976,0.0503,2.1396,6.4754,12.6412,9.8331,1.951,3.4437,0.01,23.6
JELTAV,90.35,-3.2262,0.5105,2.3173,6.3321,12.4801,9.6773,1.9645,1.5255,0.0854,21.1
JESYEO,82.42,-2.9977,0.471,1.9855,6.3571,12.399,9.7729,1.9607,1.4898,0.0829,17.4
JEWTEK,94.71,-3.2288,0.4732,2.0481,6.342,12.4479,9.7369,1.9551,1.5527,0.0697,13.1
JEXNAB,61.03,-2.951,0.2312,1.6955,6.5719,12.4046,9.7924,1.9502,1.3854,0.0132,30.3
JEZMEJ,81.86,-3.2571,0.3651,2.1101,6.3791,12.4997,9.7561,1.8998,1.5323,0.0773,17.7
JEZMUZ,81.56,-3.2419,0.363,2.0954,6.3803,12.4985,9.7581,1.9088,1.5604,0.1093,14.7
JIGDAE,71.24,-3.4926,0.2814,1.9289,6.5347,12.458,9.7259,1.8909,1.4935,0.0739,30.5
JIGTEY,81.38,-2.9768,0.2046,2.1938,6.4343,12.5919,9.7693,1.9428,1.257,0.018,32.1
JIKNOJ,91.07,-3.0759,0.4594,2.1173,6.3493,12.4659,9.7254,1.8931,1.5687,0.0658,22.5
JINVAG,69.57,-3.5893,0.292,1.9489,6.5308,12.4548,9.7224,1.8934,1.3105,0.0154,29.3
JIYPEN,79.22,-3.4963,0.2756,1.9476,6.5196,12.4698,9.735,1.8925,1.1972,0.0204,24.5
JODKET,80.62,-3.0986,0.1897,2.2654,6.4414,12.6049,9.764,1.9093,1.3022,0.019,23.5
JOGLAV,95,-2.492,0.3528,1.7342,6.4189,12.4248,9.8035,1.9247,1.6448,0.0913,21.6
JOHKEY,79.82,-2.9246,0.2526,1.7993,6.4546,12.4814,9.8114,1.9465,1.6447,0.0618,25.6
JOLFUO,74.11,-3.4464,0.2516,1.9439,6.5329,12.4762,9.7393,1.8999,1.0982,0.0302,24.1
JOMCOF,80.9,-3.9965,0.3449,1.6073,6.3674,12.4206,9.8671,1.9557,1.5427,0.0897,47
JOPGED,78.64,-2.579,0.2736,1.6938,6.5272,12.4195,9.7797,1.9735,1.5831,0.0967,112.5
JORMEI,92.63,-2.7767,0.4478,2.1008,6.3062,12.4652,9.7808,1.9265,1.486,0.0703,15.3
JOTFIJ01,83.07,-3.2426,0.3839,2.2723,6.3737,12.5216,9.7208,1.9589,1.5329,0.1018,22.7
JOYSAU,86.54,-2.6258,0.1746,1.7333,6.4793,12.5017,9.8444,1.9715,1.2368,0.0174,26.6
JUJPIQ,82.68,-3.8547,0.2385,1.7275,6.4201,12.4724,9.869,1.9805,1.1027,0.0302,65.7
JULREN,76.92,-2.7802,0.248,1.6969,6.5174,12.4395,9.795,1.9497,1.6432,0.0469,28.1
JUYVIL,83.56,-2.7658,0.3955,1.9553,6.4066,12.4331,9.7648,1.8949,1.5818,0.0829,20.3
JUZCEP,76.79,-3.1261,0.2011,1.8802,6.5111,12.5011,9.7867,1.9594,1.2079,0.0238,24.6
KABGOL,61.59,-2.6142,0.311,1.6737,6.4928,12.3901,9.806,1.9276,1.4704,0.0759,21.4
KACKII,100.27,-3.326,0.4901,2.0386,6.322,12.4576,9.7303,1.8679,1.552,0.1062,15.4
KAHDUS,84.53,-3.6687,0.424,2.0399,6.3791,12.4742,9.7228,1.8882,1.6574,0.0731,17
KAHJAE,92.65,-3.3751,0.4093,1.9283,6.3604,12.4733,9.7571,1.9516,1.4333,0.0822,13.3
KAHRUI,82.57,-2.7833,0.1909,2.0782,6.4327,12.5792,9.7972,1.9402,1.4639,0.0127,24.4
KAJFUA,71.41,-3.3502,0.2688,1.8841,6.534,12.4523,9.7449,1.8834,1.3155,0.0124,32.9
KAKFIO,88.26,-3.2026,0.5091,2.3304,6.3311,12.483,9.6767,1.9318,1.5569,0.0984,24.3
KALLIV,80.66,-2.7438,0.2297,2.1326,6.438,12.5464,9.7859,1.9225,1.3187,0.0119,26.9
KATBOX,82.9,-2.7599,0.3524,2.0105,6.4076,12.4517,9.7883,1.9644,1.3746,0.0255,26.5
KATGAO,80.84,-3.3652,0.3438,2.0467,6.3883,12.499,9.7689,1.915,1.3836,0.0126,11.8
KAVFES,101.8,-2.6918,0.1334,1.9628,6.4346,12.5884,9.8435,1.9152,1.6116,0.0817,20.4
KAXWUB,49.19,-2.9227,0.3389,1.663,6.5255,12.3807,9.7549,1.925,1.6762,0.044,24.1
KAYGEY,59.53,-3.0554,0.2209,1.8116,6.5413,12.4605,9.7773,1.8949,1.3851,0.0111,25.1
KAYQUY,82.83,-3.1377,0.1734,2.1675,6.4341,12.6005,9.792,1.908,1.2495,0.016,22.2
KEFFIM,95.28,-2.8585,0.3493,2.0546,6.3737,12.4926,9.7844,1.9271,1.6468,0.088,21.4
KEFXOL,89.88,-3.4921,0.4797,1.999,6.3337,12.4516,9.735,1.9562,1.6276,0.0759,13.8
KEGLEQ,98.08,-2.7327,0.3734,2.2909,6.3587,12.5188,9.749,1.9505,1.4375,0.0123,15
KEGMAL,82.73,-3.2092,0.2033,2.3624,6.4226,12.6348,9.7393,1.907,1.3587,0.0158,19.8
KEHWUR,79.94,-3.0231,0.1375,2.0844,6.4524,12.6077,9.8024,1.9463,1.2167,0.0163,27.4
KEMMOG,81.27,-3.1881,0.1736,2.0976,6.4336,12.5981,9.7947,1.9339,1.2651,0.0167,21.6
KEMZUZ,55.89,-2.8102,0.2916,1.5705,6.5501,12.3808,9.7775,1.9083,1.4083,0.0078,13.9
KENPIE,83.05,-3.3251,0.3687,2.1341,6.3767,12.4998,9.7547,1.8908,1.5629,0.1078,14.7
KEPDIU,69.94,-2.962,0.1794,1.7343,6.5941,12.4584,9.7681,1.9519,1.2881,0.0128,32.1
KEPFES,67.11,-3.1213,0.2155,1.7846,6.573,12.4381,9.7734,1.9611,1.2462,0.0101,24.7
KERQEF01,85.51,-3.0622,0.4321,2.071,6.3662,12.4689,9.7327,1.9257,1.588,0.0855,-12.3
KERTAD,70.46,-3.5377,0.2892,1.8903,6.5363,12.4429,9.7316,1.9073,1.4995,0.0717,29.9
KEVSUB,72.62,-2.7824,0.3173,1.6494,6.5403,12.3756,9.7668,1.895,1.4756,0.0698,29.8
KEWGUO,46.34,-3.0187,0.3087,1.5901,6.5558,12.3712,9.7643,1.8953,1.5321,0.0677,25.9
KHNBFZ10,85.83,-3.7979,0.3282,2.2472,6.3832,12.5538,9.7348,1.9176,1.4872,0.0801,20.6
KHTACN,98.86,-3.2908,0.4649,2.1376,6.316,12.4883,9.7309,1.9813,1.5723,0.0733,12.9
KHXBIU,85.16,-2.7405,0.2064,1.6901,6.4887,12.4823,9.8226,1.9523,1.5129,0.0844,25.4
KIDVEA,86.5,-2.7688,0.3983,1.9689,6.4002,12.4363,9.7652,1.8976,1.5047,0.0687,23.8
KIFMUH,64.22,-3.3329,0.483,2.0876,6.3986,12.3981,9.7203,1.9158,1.4837,0.0675,16.7
KIGQAS,90.59,-3.3711,0.5232,2.3614,6.3261,12.4838,9.667,1.9582,1.5318,0.1003,21.8
KIKLAS,82.19,-2.8686,0.4654,2.7477,6.2781,12.5876,9.6689,1.8311,1.5873,0.0809,15
KIMCER,85.85,-2.5565,0.3771,1.8552,6.419,12.4203,9.7836,1.9433,1.6277,0.0936,21.2
KIMRUV,73.97,-3.5679,0.2825,2.0058,6.5133,12.4651,9.7391,1.8956,1.3744,0.0141,23.3
KINRAA,83.85,-3.1195,0.2424,1.795,6.5399,12.4453,9.7724,1.8785,1.3595,0.0118,28
KINRII,86.23,-3.1817,0.2541,1.8475,6.5252,12.4577,9.763,1.8854,1.6061,0.0701,28.2
KINSIL04,78.51,-2.7426,0.223,1.7195,6.5033,12.46,9.8136,1.9475,1.2885,0.0169,26.1
KINTUY,85.38,-2.7441,0.3553,2.0828,6.3962,12.4651,9.7834,1.9343,1.3812,0.0299,24.2
KIRPUY,69.29,-3.1934,0.2379,1.7901,6.5575,12.439,9.7655,1.9453,1.6086,0.0319,27.8
KITZIZ,82.31,-3.3029,0.382,2.0695,6.3857,12.4617,9.7707,1.8881,1.575,0.0886,15.7
KIXGEE,82.03,-3.2498,0.3433,2.0877,6.3883,12.4937,9.7746,1.9146,1.405,0.014,11.1
KIYWEX,82.57,-3.0331,0.2178,2.0119,6.4624,12.5523,9.7675,1.8988,1.3141,0.0153,23.4
KIZJOU,81.72,-2.9783,0.1399,2.0842,6.4622,12.5963,9.8017,1.9161,1.1518,0.0232,22.7
KIZXEW,64,-3.2153,0.4658,2.0405,6.4074,12.3945,9.7323,1.9189,1.6758,0.0654,19.7
KOFNIC,45.42,-3.0115,0.3044,1.56,6.5566,12.3726,9.7664,1.9014,1.6566,0.045,30.2
KOGWOV,98.81,-2.6283,0.3369,1.7647,6.3818,12.4655,9.8158,1.953,1.6044,0.0686,20.7
KONNEI,89.76,-2.7131,0.3265,2.0774,6.4294,12.4742,9.7699,1.9769,1.4741,0.0987,21.5
KOPBAV,84.54,-2.6741,0.4113,2.1959,6.3902,12.479,9.7195,1.9553,1.4915,0.0912,23
KOSJEH,84.75,-3.1928,0.3926,2.0693,6.3857,12.4591,9.7626,1.9492,1.6697,0.0743,15.6
KOTMOV,80.71,-3.0389,0.1877,2.0534,6.4397,12.5685,9.804,1.9338,1.0839,0.0226,19.3
KOXBUW,82.22,-3.6866,0.39,2.2387,6.3707,12.5358,9.7036,1.9086,1.1924,0.015,18.3
KOZPUN,88.34,-3.2051,0.3556,2.9771,6.3428,12.6192,9.6824,1.9292,1.3483,0.0226,14.2
KUBJOI,58.57,-3.3667,0.1206,2.0726,6.602,12.5024,9.775,1.9489,1.5535,0.0773,23.2
KUBVOS,79.5,-2.7834,0.1317,1.9749,6.4607,12.5803,9.8273,1.9454,1.4011,0.0107,25.4
KUFLUU01,95.89,-2.8008,0.3734,2.1471,6.3612,12.5169,9.7486,1.9484,1.5551,0.0971,16.2
KUFRUZ,85.98,-3.1192,0.4595,2.0672,6.3662,12.4415,9.7327,1.9216,1.5301,0.0811,21.8
KULMAI,83.47,-3.2494,0.1991,2.2244,6.427,12.6103,9.7636,1.9197,1.213,0.0206,25.5
KUSHUC,83.65,-2.4532,0.3662,1.9633,6.3999,12.4662,9.7677,1.9228,1.5683,0.0888,16.6
KUSLIU,83.01,-3.2766,0.1957,2.1052,6.4251,12.5979,9.7812,1.9364,1.3862,0.0106,19
KUTTOJ,80.75,-2.7409,0.154,2.0073,6.4511,12.581,9.8139,1.9141,1.1105,0.0199,30.3
LACHON,91.69,-3.0508,0.4551,1.9475,6.352,12.411,9.7819,1.9675,1.7082,0.0515,4.2
LACHUV,75.54,-3.5527,0.2949,2.013,6.5045,12.4677,9.733,1.8916,1.4714,0.0707,35.9
LAHTOG,97.43,-2.3408,0.2879,2.1354,6.3792,12.5473,9.7856,1.9595,1.5622,0.0937,19.4
LAJJIQ,82.82,-3.3393,0.1823,2.115,6.4279,12.6079,9.7819,1.9398,1.2092,0.0218,18.7
LAJWIE,82.16,-3.363,0.3594,2.1274,6.3814,12.4941,9.7651,1.917,1.3784,0.0119,13.2
LALJER,81.31,-3.4636,0.3213,2.1144,6.4106,12.5208,9.7473,1.9111,1.4199,0.0153,16.4
LALQIY,85.2,-2.5289,0.4134,1.9619,6.3776,12.4458,9.7632,1.9431,1.5624,0.0825,17.8
LAPCOW,85.75,-2.4587,0.4197,2.1301,6.3768,12.4881,9.7154,1.892,1.5507,0.0904,24.3
LAPDAJ,80.87,-3.4321,0.3667,2.0989,6.3816,12.4829,9.7689,1.9088,1.5264,0.0854,13.7
LAPVUV,88.28,-2.5657,0.3177,1.9652,6.4051,12.4659,9.8114,1.9215,1.569,0.0752,15.3
LAQBIQ,85.94,-3.4726,0.4993,2.0619,6.3352,12.4326,9.7328,1.9801,1.5312,0.0542,15.8
LATFOD,81.91,-3.6009,0.3767,2.1853,6.3704,12.5049,9.7481,1.9259,1.4264,0.0171,12.5
LAXPAD,88.7,-3.5058,0.4137,2.0324,6.3594,12.4816,9.7454,1.9411,1.4924,0.0794,17.4
LEBBID,82.94,-3.1512,0.3465,2.2912,6.3898,12.5468,9.7169,1.958,1.6154,0.0886,34.3
LEBGIK,83.1,-3.3669,0.1913,2.1183,6.4257,12.5991,9.784,1.9375,1.2079,0.0233,17.8
LEBSUG,98.61,-3.1896,0.3936,1.951,6.3498,12.4806,9.7759,1.9303,1.5196,0.0766,13.3
LEDPIV,81.21,-2.6515,0.2939,1.8636,6.4192,12.4771,9.8098,1.9259,1.5259,0.0661,21.5
LEJYOP,49.06,-3.1357,0.3279,1.6752,6.525,12.4061,9.7409,1.897,1.3617,0.0113,28.6
LENLOF,86.21,-2.8894,0.2401,1.8336,6.4587,12.4903,9.8109,1.9459,1.5501,0.0685,22.4
LEQNIH,96.01,-2.567,0.2483,2.0375,6.4025,12.5501,9.799,1.9428,1.1875,0.0219,23.2
LESQUY,82.37,-2.6154,0.3372,1.8058,6.4172,12.4411,9.8045,1.8747,1.4603,0.0803,15.9
LETPIK,84.51,-3.6272,0.4989,2.0985,6.363,12.4203,9.7177,1.8841,1.47,0.08,15.4
LEVQIP,79.6,-2.7863,0.2765,2.0378,6.4234,12.51,9.7901,1.9256,1.1838,0.0173,24.5
LEYQIR,86.77,-3.1769,0.3807,1.8443,6.3697,12.4682,9.7814,1.9612,1.457,0.0837,-15.6
LICJUD,87.6,-2.6945,0.4111,1.9607,6.3891,12.435,9.7648,1.9199,1.6372,0.1001,20.6
LIKYOV,72.55,-3.4094,0.2585,1.9057,6.5508,12.4528,9.7379,1.9686,1.2798,0.0203,29.4
LILVAG,79.27,-2.9857,0.1203,2.003,6.4629,12.604,9.8128,1.9387,1.407,0.0157,26
LIMMUQ,90.54,-3.4786,0.4585,2.1247,6.3356,12.4739,9.732,1.9303,1.4513,0.0693,15.3
LIPXOZ,83.38,-3.2456,0.4439,2.0486,6.3783,12.425,9.7528,1.961,1.6522,0.0685,16.1
LIQHOK,74.55,-3.2803,0.2608,1.8771,6.5307,12.4587,9.7498,1.8812,1.4874,0.0758,30.3
LIQMEF,84.31,-3.2352,0.4527,2.0335,6.3734,12.4219,9.7519,1.9764,1.6736,0.0876,15.2
LIQMIJ,81.71,-3.2468,0.4628,1.983,6.3742,12.4104,9.7526,1.9696,1.5452,0.0861,14.4
LISHUT03,77.76,-2.6407,0.2769,1.7865,6.4665,12.4428,9.8137,1.9562,1.7146,0.0997,23.1
LIVROZ,80.55,-3.1599,0.3249,2.0368,6.4144,12.4951,9.7657,1.8973,1.3338,0.0115,18
LIVSEP,83.25,-3.3159,0.3867,1.8533,6.377,12.4578,9.7785,1.9174,1.5002,0.0762,14.8
LOBTEE,93.21,-3.226,0.486,2.2265,6.3406,12.4685,9.7049,1.9699,1.5595,0.0609,19.4
LOFZUD,81.04,-3.3174,0.3643,2.0776,6.3866,12.49,9.759,1.9161,1.3458,0.0134,15.3
LOHLUR,81.35,-3.3049,0.366,2.1018,6.3853,12.4906,9.758,1.9072,1.3355,0.0132,14
LOJJAW,86.1,-2.9242,0.4484,2.0717,6.3781,12.4329,9.7406,1.9046,1.6125,0.054,20.9
LOLYOC,80.77,-3.2191,0.2611,2.154,6.4149,12.5552,9.7689,1.9273,1.2141,0.024,13.5
LOVDOR,93.32,-2.9574,0.4692,2.2068,6.3456,12.4809,9.7043,1.9738,1.5657,0.092,24
LOYDIP,78.51,-3.0263,0.3621,1.8012,6.4143,12.4285,9.7951,1.9388,1.4917,0.0942,15.1
LUGXUJ,81.95,-3.3222,0.3736,2.14,6.3748,12.5018,9.7498,1.921,1.3321,0.0105,14.7
LUHFOK,81.82,-3.2277,0.3318,2.1215,6.3943,12.5125,9.7614,1.9042,1.5183,0.0891,130.1
LUJXIA,81.34,-3.4299,0.2346,2.1938,6.4175,12.5764,9.7715,1.9504,1.3359,0.0115,20.5
LULRAL,81.78,-2.412,0.2388,1.828,6.4401,12.5062,9.8149,1.9557,1.6499,0.097,1.9
LUMNPO20,85.25,-3.9519,0.3762,2.2744,6.381,12.5371,9.7057,1.9649,1.625,0.0763,18.1
LUPBEE,70.21,-3.1488,0.2343,1.7913,6.5576,12.4399,9.7682,1.8769,1.4955,0.0706,27.4
LUQTOI,80.77,-3.6671,0.2909,2.3292,6.4066,12.5801,9.7223,1.9498,1.1746,0.0225,21.1
LUVNIZ,82.17,-2.8828,0.1835,2.0941,6.4283,12.5765,9.8118,1.9439,1.2557,0.0148,24.9
MAGJIQ,88.79,-3.6814,0.4437,2.2466,6.3236,12.507,9.7257,1.955,1.4948,0.0867,29.3
MAMDUD,81.02,-3.4484,0.2107,2.1388,6.4283,12.5807,9.7803,1.9334,1.4164,0.0152,18.2
MAMHCA,88.4,-3.0213,0.4102,1.8828,6.3618,12.4597,9.7683,1.9083,1.5328,0.094,16.3
MAMSAW,84.3,-2.8488,0.4699,2.1178,6.3652,12.4323,9.7326,1.8974,1.6117,0.0594,19.1
MANAPQ10,85.33,-3.9014,0.5134,2.3314,6.322,12.5126,9.652,1.9355,1.5075,0.0832,17.5
MAPKOE,81.58,-2.6098,0.2805,1.9257,6.4076,12.4913,9.8206,1.9093,1.3456,0.0084,25.6
MARJAT,80.41,-2.5658,0.3458,1.802,6.4615,12.4278,9.7649,1.9069,1.6805,0.076,22
MARZUA,88.82,-2.8387,0.3177,1.9551,6.4151,12.4733,9.7939,1.9255,1.3992,0.0168,17.8
MAYCIB,77.92,-2.8226,0.2016,1.9658,6.4684,12.5582,9.7718,1.9378,1.2446,0.0275,24.1
MAYHEC,86.24,-3.1651,0.3746,1.974,6.3563,12.4741,9.795,1.9587,1.6194,0.0911,13
MAYTOX,80.73,-3.1026,0.2522,1.9024,6.4577,12.5052,9.7849,1.9067,1.5191,0.0728,27.6
MEBTUK,83,-3.5673,0.3121,2.1131,6.3992,12.5249,9.7638,1.922,1.5219,0.0796,13.7
MECXAV,83.63,-2.6401,0.3233,1.8554,6.4354,12.4393,9.802,1.9576,1.5431,0.0767,21.8
MEFNIW,82.48,-2.6421,0.3845,2.0167,6.4012,12.4549,9.7593,1.9117,1.4272,0.088,-5.5
MEINAN10,81.99,-3.5039,0.3154,2.1756,6.401,12.5452,9.7385,1.8946,1.5341,0.0838,20.5
MEKJIV,81.08,-2.5244,0.3394,1.7452,6.4496,12.4155,9.7955,1.9061,1.5356,0.0557,25.3
MEKWOR,95.81,-3.2051,0.461,1.971,6.3681,12.4208,9.7501,1.9153,1.5842,0.0802,15
MELSEE,80.54,-2.5089,0.3478,1.7955,6.4367,12.4202,9.7953,1.9597,1.6528,0.0811,26.5
MEMALA,46.37,-2.9717,0.304,1.5553,6.5588,12.3689,9.7683,1.9214,1.6884,0.1052,4.2
MEMTOO,81.78,-3.3314,0.3687,2.0963,6.3844,12.4865,9.7603,1.8887,1.2982,0.0175,13.8
MEMXAG,96.54,-3.6475,0.5573,2.3741,6.2963,12.5057,9.6407,1.9737,1.5829,0.0771,23.9
MENDAL01,84.35,-3.1045,0.2663,2.0757,6.4058,12.5587,9.7692,1.9103,1.3424,0.0082,23.2
MENTAB,83.08,-3.3079,0.202,2.1426,6.4232,12.5998,9.7749,1.9315,1.2084,0.0219,18
MESHAU,86.2,-3.6805,0.4229,2.0173,6.3595,12.4619,9.7556,1.9357,1.4876,0.0654,14.4
MESWOZ,95.36,-3.3696,0.4536,3.0348,6.3048,12.5983,9.6433,1.8328,1.6721,0.1177,14.2
MEVTUC,92.58,-2.444,0.3783,1.8437,6.387,12.4423,9.7924,1.9262,1.6864,0.0842,22.2
MEWQAI,81.83,-3.2668,0.3296,2.0978,6.3893,12.5062,9.7749,1.9372,1.4392,0.0173,13.7
MEWZOF,82.1,-2.6986,0.3592,1.8654,6.4032,12.4454,9.7921,1.9139,1.7323,0.0727,24.6
MGUOSM,69.81,-3.208,0.2426,1.8191,6.5541,12.4409,9.7624,1.8956,1.4851,0.0685,30.5
MIFWOQ,82.32,-3.2738,0.3771,1.9075,6.3805,12.4741,9.7683,1.9163,1.4807,0.0802,17.6
MILFAP,69.25,-3.1793,0.2363,1.8001,6.5586,12.4391,9.7659,1.9,1.3301,0.0172,30.7
MILMAV,53.05,-3.0753,0.2358,1.7022,6.5705,12.418,9.7756,1.9045,1.5598,0.0217,26.3
MINQUX,83.3,-3.217,0.1763,2.1022,6.4315,12.6016,9.7906,1.9319,1.2127,0.0191,20.4
MIRHED,90.54,-3.1498,0.4492,2.1157,6.3463,12.471,9.7335,1.8951,1.6916,0.1059,20.1
MIRMIM,81.48,-2.575,0.3309,1.8119,6.4322,12.4359,9.801,1.9081,1.7194,0.0783,22
MIRNIN,82.03,-2.5569,0.332,1.7832,6.4356,12.4336,9.7988,1.883,1.7178,0.0771,24.7
MISCAT,81.72,-3.3428,0.3762,2.1277,6.3751,12.4999,9.7489,1.9063,1.5785,0.1075,12.2
MIVQEN,85.1,-3.3682,0.4766,2.0424,6.3671,12.4244,9.7319,1.9549,1.6414,0.0802,16.4
MIYTUM,82.45,-3.4284,0.2797,2.0497,6.4692,12.5018,9.7493,1.9646,1.6982,0.0732,23.2
MIZFIL,47.95,-3.3499,0.5146,2.2999,6.3432,12.4577,9.6845,1.9325,1.5319,0.0928,26.4
MIZMIT01,83.8,-2.9719,0.2351,2.022,6.4344,12.5619,9.7687,1.9339,1.5821,0.0718,24.9
MIZPUG,73.76,-1.7244,0.2954,1.6967,6.5498,12.3931,9.7617,1.9524,1.5311,0.0722,15.9
MMALAC,47.4,-3.0404,0.3217,1.5214,6.5479,12.3608,9.7696,1.9028,1.5577,0.0841,23.5
MNAPOD10,110.29,-3.1882,0.4009,2.0454,6.3271,12.4986,9.7734,1.9343,1.689,0.0414,13.3
MOFQED,70.58,-2.9476,0.4194,1.5609,6.4427,12.3466,9.7913,1.935,1.6169,0.0871,15.1
MOGLAW,67.97,-2.6829,0.314,1.6748,6.5473,12.3802,9.7585,1.8925,1.4666,0.0796,27.4
MOHVOV,86.57,-2.8489,0.424,2.0342,6.3847,12.4406,9.7507,1.9394,1.6753,0.096,22.9
MOJTUA,86.74,-2.5807,0.4096,2.1464,6.3796,12.4906,9.7202,1.8997,1.4764,0.0849,-10
MOPBEZ,93.95,-2.346,0.279,1.9105,6.4066,12.49,9.8245,1.9324,1.2977,0.0181,22.5
MOPHIK,80.67,-3.2832,0.346,2.0599,6.3897,12.4871,9.7773,1.9348,1.5507,0.0906,11.9
MOSLOW,84.4,-2.5474,0.3698,1.7937,6.4287,12.4094,9.7922,1.9064,1.6252,0.0759,19.5
MOSYAV,81.29,-3.5221,0.2905,2.1157,6.4231,12.5309,9.7556,1.8982,1.5176,0.0757,23.3
MOTCII,81.33,-3.527,0.2916,2.1149,6.422,12.5307,9.7558,1.9104,1.2009,0.0196,23.4
MOXCPB10,85.03,-3.1573,0.4973,2.4539,6.2957,12.4702,9.7368,1.9588,1.5157,0.0522,19
MOYWUU,82.12,-3.206,0.1679,2.0783,6.4365,12.6014,9.7942,1.9314,1.3861,0.0124,19
MOYXAB01,82.12,-3.2084,0.1678,2.0784,6.4366,12.6014,9.7942,1.9303,1.2136,0.0217,19
MPYDCX01,94.66,-2.5962,0.1811,2.1304,6.4485,12.5647,9.8057,1.9214,1.6863,0.0718,20.9
MRUBFN,84.45,-2.6282,0.4189,1.962,6.3808,12.4312,9.7691,1.9183,1.5348,0.0776,17.1
MUFLAA,91.64,-2.871,0.4281,2.0841,6.3559,12.4803,9.7358,1.8845,1.5934,0.0845,15.8
MUGRAI,82.95,-3.455,0.2309,2.2032,6.422,12.5951,9.752,1.9014,1.3974,0.0149,18.8
MUTWON,84.99,-3.2619,0.4004,2.0657,6.3784,12.4624,9.7588,1.9745,1.4014,0.0233,14.4
MUTXAA,105.77,-2.3926,0.3981,1.9805,6.3656,12.4701,9.7662,1.9485,1.5493,0.0952,14.3
MXNSAC20,82.45,-3.4929,0.3311,2.1666,6.3905,12.5435,9.7349,1.8979,1.517,0.088,18.9
MXZTCE10,97.27,-3.2058,0.4614,2.0036,6.3583,12.4299,9.7505,1.8983,1.7084,0.0617,13.7
NADVUN,82.68,-3.3253,0.1829,2.111,6.4284,12.6067,9.7821,1.9323,1.2146,0.02,18.9
NARCAN,81.59,-2.6266,0.2266,2.0838,6.4303,12.5492,9.794,1.9516,1.4713,0.0153,37.7
NATSEJ,82.16,-3.333,0.1755,2.1409,6.4289,12.6073,9.7883,1.9325,1.302,0.0162,20.2
NATSIN,82.21,-3.3416,0.1798,2.1486,6.4278,12.6063,9.786,1.9391,1.3242,0.0183,21
NATTIO,82.23,-3.3086,0.1723,2.1344,6.4292,12.6085,9.79,1.9396,1.3305,0.0179,20
NAYTAJ,81.93,-3.2872,0.2361,2.1376,6.416,12.5721,9.7759,1.9538,1.4165,0.0128,21.1
NEBPIW,63.73,-3.6006,0.3787,1.7135,6.4798,12.4143,9.7271,1.8912,1.6449,0.0832,-18.9
NECCAC,84.65,-3.6153,0.4179,2.03,6.3771,12.4767,9.7284,1.9028,1.644,0.0768,16.8
NELNID,81.38,-3.0906,0.2451,2.1283,6.4242,12.5488,9.782,1.9207,1.1862,0.0204,16.8
NERDOE,75.65,-3.3253,0.2476,1.9407,6.5257,12.4781,9.7486,1.9653,1.3004,0.0178,27.2
NERPUX,83.62,-3.6085,0.308,2.4249,6.3956,12.589,9.7074,1.9713,1.1944,0.0194,19.5
NEWLIK,85.43,-2.5766,0.385,2.1253,6.3828,12.4849,9.7473,1.9244,1.5213,0.0901,20
NICCEH,79.5,-2.9351,0.2714,1.9011,6.4327,12.4882,9.8077,1.912,1.5249,0.0793,16.3
NIFVEG,86.71,-2.6422,0.3708,1.8639,6.4185,12.4305,9.7801,1.8918,1.5432,0.0586,20.6
NIFVIK,98.79,-3.1417,0.5015,2.4006,6.3286,12.5019,9.668,2.0019,1.5922,0.1187,20.7
NIGVIK,78.77,-3.1294,0.2944,1.8678,6.4353,12.4759,9.7944,1.9315,1.2647,0.0041,9.6
NIKBAN,94.07,-2.633,0.2058,1.9946,6.4245,12.5649,9.8048,1.9352,1.5848,0.0953,25.6
NILLEB,86.85,-2.7359,0.3932,1.9558,6.404,12.4372,9.7656,1.8923,1.5241,0.0713,22.6
NIPVEO,80.97,-2.7993,0.25,1.8891,6.4496,12.5013,9.799,1.9376,1.1941,0.0192,24.1
