Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA)
TOHGAY01,0,-29,10.8,5.8,-63,39.9,34.8,Minimum,Minimum,Correct TS
TOHHOQ,0,-4.3,17.9,13.2,-63,22.2,17.6,Minimum,Minimum,Correct TS
TOLPOB,0,-4.1,9.2,12.2,-63,13.3,16.3,Minimum,Minimum,Correct TS
TOMCIK,0,-4.6,19.6,12.7,-63,24.2,17.3,Minimum,Minimum,Correct TS
TOMPER,0,-5.6,11.3,9.8,-63,16.9,15.4,Minimum,Minimum,Correct TS
TONBEE,0,-12.8,12.8,8.5,-63,25.6,21.4,Minimum,Minimum,Correct TS
TONNUI,0,-9,7.2,11.6,-63,16.2,20.6,Minimum,Minimum,Correct TS
TOQMUH01,0,-11.1,13.2,11.2,-63,24.4,22.3,Minimum,Minimum,Correct TS
TOQQEY01,0,-9.9,15.2,12.6,-63,25.2,22.6,Minimum,Minimum,Correct TS
TORFUD,0,-4.8,17.3,13.2,-63,22.1,18,Minimum,Minimum,Correct TS
TORZEH,0,-0.4,20.6,16.7,-63,21,17.1,Minimum,Minimum,Correct TS
TORZIL,0,-6.5,15.3,6.4,-63,21.8,12.9,Minimum,Minimum,Correct TS
TOSCAH,0,-0.4,24.1,14.5,-63,24.5,14.9,Minimum,Minimum,Correct TS
TOSFAL,0,-4.5,0,23.7,-63,4.6,28.2,Minimum,Minimum,Correct TS
TOSHOY,0,-3,11.7,7.3,-63,14.7,10.3,Minimum,Minimum,Correct TS
TOSHUG,0,-10.3,12.2,8.8,-63,22.5,19.1,Minimum,Minimum,Correct TS
TOSJAM02,0,-5.4,14.4,11.4,-63,19.7,16.8,Minimum,Minimum,Correct TS
TOSNEW,0,-6.7,14.9,5.5,-63,21.6,12.2,Minimum,Minimum,Correct TS
TOSNOG,0,-3,20.8,16.9,-63,23.8,19.9,Minimum,Minimum,Correct TS
TOVHIY,0,-7,13.1,13.5,-63,20.1,20.4,Minimum,Minimum,Correct TS
TOVHOE,0,-6.8,13.1,13.7,-63,19.9,20.5,Minimum,Minimum,Correct TS
TOVJAS,0,-7.5,10.7,13.1,-63,18.3,20.6,Minimum,Minimum,Correct TS
TOXYUC,0,-4.4,18.5,10.7,-63,22.9,15.1,Minimum,Minimum,Correct TS
TOXZOX,0,-6.8,15.1,8.6,-63,21.9,15.4,Minimum,Minimum,Correct TS
TOYCIV,0,-8.8,9.8,8.6,-63,18.6,17.4,Minimum,Minimum,Correct TS
TOYCOB,0,-8.9,9.9,8.4,-63,18.8,17.3,Minimum,Minimum,Correct TS
TOYFEU,0,-8.4,8.4,8.5,-63,16.8,16.9,Minimum,Minimum,Correct TS
TOYWAF,0,-10.6,16.8,11.4,-63,27.3,21.9,Minimum,Minimum,Correct TS
TOYWEJ,0,-11.3,14.3,12.5,-63,25.6,23.7,Minimum,Minimum,Correct TS
TOYWIN,0,-11.4,14.4,12.2,-63,25.9,23.7,Minimum,Minimum,Correct TS
TOZJID,0,-6.4,13.2,12.7,-63,19.6,19.1,Minimum,Minimum,Correct TS
TUBQOW,0,-1,2.4,14.9,-63,3.4,15.9,Minimum,Minimum,Correct TS
TUBXUJ,0,-7.3,17.9,12.9,-63,25.3,20.3,Minimum,Minimum,Correct TS
TUCZID,0,-5,16.7,11.9,-63,21.7,16.9,Minimum,Minimum,Correct TS
TUDJOT,0,-8,-8.2,13.7,-63,-0.2,21.7,Minimum,Minimum,Correct TS
TUFDAC,0,-6.5,14.9,13.1,-63,21.4,19.6,Minimum,Minimum,Correct TS
TUFDUV,0,-10.2,5.9,12.8,-63,16,22.9,Minimum,Minimum,Correct TS
TUHXAV01,0,-8.3,9.9,12.2,-63,18.3,20.5,Minimum,Minimum,Correct TS
TUJWOL,0,-4.7,18.8,10,-63,23.5,14.8,Minimum,Minimum,Correct TS
TUKDIO,0,-6,14.4,-56.2,-63,20.4,-50.2,Minimum,Minimum,Correct TS
TUKMAQ,0,-13.4,6.6,7.9,-63,20,21.3,Minimum,Minimum,Correct TS
TUKNET,0,-3.4,20.3,17,-63,23.7,20.4,Minimum,Minimum,Correct TS
TUKROJ,0,-6.4,17,8.5,-63,23.3,14.9,Minimum,Minimum,Correct TS
TULYOQ,0,-11.5,19.7,19.6,-63,31.2,31,Minimum,Minimum,Correct TS
TULZUV,0,-7.3,-7.5,14.5,-63,-0.2,21.9,Minimum,Minimum,Correct TS
TUMQUQ,0,-4.8,13.4,11.7,-63,18.2,16.5,Minimum,Minimum,Correct TS
TUNBAH,0,-2,11.7,11,-63,13.7,13,Minimum,Minimum,Correct TS
TUNTIF,0,-8.8,9.1,9.1,-63,18,17.9,Minimum,Minimum,Correct TS
TUPBEN,0,-6.6,7.5,12.5,-63,14.1,19.1,Minimum,Minimum,Correct TS
TUPDIS,0,-14.5,1.7,7.8,-63,16.2,22.3,Minimum,Minimum,Correct TS
TUPJOE,0,-4.1,17.3,12,-63,21.3,16.1,Minimum,Minimum,Correct TS
TURACD,0,-8.7,12.5,12.3,-63,21.2,21.1,Minimum,Minimum,Correct TS
TUSGUK,0,-14.2,12.1,7.9,-63,26.3,22.1,Minimum,Minimum,Correct TS
TUSZEN,0,-6.8,14.1,11,-63,21,17.8,Minimum,Minimum,Correct TS
TUTDIW,0,-9.7,6.3,10,-63,16,19.7,Minimum,Minimum,Correct TS
TUVZIU,0,-27.2,0.2,15.9,-63,27.4,43.2,Minimum,Minimum,Correct TS
TUWCUK,0,-2.8,14,14.2,-63,16.8,16.9,Minimum,Minimum,Correct TS
TUWYUG,0,-8,17.2,9.4,-63,25.2,17.4,Minimum,Minimum,Correct TS
TUXBOD,0,-4.2,13.7,11.1,-63,18,15.4,Minimum,Minimum,Correct TS
TZSPOD10,0,-7.5,6.8,13,-63,14.3,20.5,Minimum,Minimum,Correct TS
UBAGEL,0,-6.5,10.4,14.3,-63,16.9,20.8,Minimum,Minimum,Correct TS
UBAGIP,0,-5.3,15.4,15.4,-63,20.8,20.7,Minimum,Minimum,Correct TS
UBERIC,0,-6.3,17.1,13.8,-63,23.4,20.1,Minimum,Minimum,Correct TS
UBOJUS,0,0.4,18.6,13.4,-63,18.6,13.4,Minimum,Minimum,Correct TS
UCAHUD,0,-7.6,8.6,7.8,-63,16.2,15.4,Minimum,Minimum,Correct TS
UCAJEQ,0,-6.4,17.9,11.7,-63,24.3,18.1,Minimum,Minimum,Correct TS
UCIZIS,0,-7.6,9.5,10.2,-63,17.1,17.9,Minimum,Minimum,Correct TS
UCOKUV,0,-6.9,8,8.8,-63,14.9,15.8,Minimum,Minimum,Correct TS
UDAFEM,0,-14.5,5.5,7.2,-63,19.9,21.7,Minimum,Minimum,Correct TS
UDEGUH,0,-15.1,-25,8,-63,-9.9,23.1,Minimum,Minimum,Correct TS
UDIDIW,0,-11.1,8.5,7.1,-63,19.7,18.2,Minimum,Minimum,Correct TS
UDUVIZ,0,-9.8,7.4,7.2,-63,17.2,17,Minimum,Minimum,Correct TS
UFAMAS,0,-9.9,11.2,11.2,-63,21.1,21.1,Minimum,Minimum,Correct TS
UFAYUV,0,-15.3,17.8,9.4,-63,33.1,24.6,Minimum,Minimum,Correct TS
UFECAL,0,-7.5,15.6,10.9,-63,23.1,18.4,Minimum,Minimum,Correct TS
UFIWOW,0,-12.8,10.2,7,-63,23,19.8,Minimum,Minimum,Correct TS
UFUJUB,0,-5.6,16.4,27.3,-63,22,32.9,Minimum,Minimum,Correct TS
UFUPIV,0,-7.1,13.1,11.6,-63,20.2,18.7,Minimum,Minimum,Correct TS
UGEQEE,0,-4.5,16.2,12.2,-63,20.7,16.7,Minimum,Minimum,Correct TS
UGUJUB,0,-5.8,11.2,11.6,-63,17,17.4,Minimum,Minimum,Correct TS
UHARAX,0,-8.1,10.7,9.2,-63,18.8,17.3,Minimum,Minimum,Correct TS
UHAVEG01,0,-3.6,21.7,14.4,-63,25.4,18.1,Minimum,Minimum,Correct TS
UHEGEW,0,-1.3,23.3,15,-63,24.5,16.3,Minimum,Minimum,Correct TS
UHEGOG,0,-13.7,16.2,8.3,-63,29.9,22,Minimum,Minimum,Correct TS
UHELAV,0,-14.2,10.6,9.1,-63,24.8,23.3,Minimum,Minimum,Correct TS
UHIBES,0,-6.6,13.2,10.9,-63,19.9,17.5,Minimum,Minimum,Correct TS
UHIJAZ,0,-5.5,19.2,20.9,-63,24.7,26.4,Minimum,Minimum,Correct TS
UHUKIR,0,-4.9,13.4,11.6,-63,18.3,16.5,Minimum,Minimum,Correct TS
UJESEH,0,-18,0.7,5,-63,18.8,23,Minimum,Minimum,Correct TS
UJEYEN01,0,-14.2,11.8,9.3,-63,26,23.5,Minimum,Minimum,Correct TS
UJIBEV,0,-10.6,16.7,10.4,-63,27.4,21,Minimum,Minimum,Correct TS
UJOTES02,0,-1.7,21.6,14.5,-63,23.3,16.2,Minimum,Minimum,Correct TS
UJUWEB,0,-7.3,4.5,7.2,-63,11.9,14.5,Minimum,Minimum,Correct TS
UKALIE,0,-13.2,17.7,8.6,-63,30.9,21.8,Minimum,Minimum,Correct TS
UKEWOZ,0,-11.1,4.8,8.4,-63,15.9,19.5,Minimum,Minimum,Correct TS
UKOHEK,0,-14.5,11.3,8,-63,25.8,22.5,Minimum,Minimum,Correct TS
ULAVIO,0,-7.8,13.7,9,-63,21.5,16.8,Minimum,Minimum,Correct TS
ULAVIP,0,-7.7,13.5,14,-63,21.3,21.7,Minimum,Minimum,Correct TS
ULAZUC,0,-5.5,13.7,13,-63,19.2,18.5,Minimum,Minimum,Correct TS
ULEKAY,0,-5.8,13.6,11.3,-63,19.4,17,Minimum,Minimum,Correct TS
ULEPUX,0,-4.1,17.3,15.4,-63,21.4,19.5,Minimum,Minimum,Correct TS
ULIKOQ,0,-9,9.8,8.7,-63,18.8,17.7,Minimum,Minimum,Correct TS
ULINUZ,0,0.6,20.1,12.8,-63,20.1,12.8,Minimum,Minimum,Correct TS
ULIPUB,0,-5.6,14.7,12.6,-63,20.3,18.2,Minimum,Minimum,Correct TS
ULUHUE,0,-14.7,7.4,10,-63,22.1,24.7,Minimum,Minimum,Correct TS
ULUVII,0,-4,15.3,13.5,-63,19.3,17.5,Minimum,Minimum,Correct TS
ULUVUS,0,-5,19.1,14,-63,24.1,19,Minimum,Minimum,Correct TS
ULUWAZ,0,-4.5,19.2,13.3,-63,23.7,17.8,Minimum,Minimum,Correct TS
UMAKOK,0,-5.5,15.2,12.5,-63,20.7,18,Minimum,Minimum,Correct TS
UMEXIV,0,-4,15.7,13.8,-63,19.7,17.8,Minimum,Minimum,Correct TS
UMEZAP,0,-5.5,19.2,13,-63,24.7,18.5,Minimum,Minimum,Correct TS
UMICIE,0,-22.6,2.5,-13.7,-63,25.1,8.9,Minimum,Minimum,Correct TS
UMIDAX,0,-44,-26,-23,-63,18,21,Minimum,Minimum,Correct TS
UMIRAL,0,-7.1,14,13.7,-63,21.1,20.8,Minimum,Minimum,Correct TS
UNUCEM,0,-1.2,17.6,15.6,-63,18.8,16.8,Minimum,Minimum,Correct TS
UNUGAM,0,-8.3,9.9,8.6,-63,18.3,16.9,Minimum,Minimum,Correct TS
UNUHIV,0,-11.2,3.5,6.7,-63,14.7,17.9,Minimum,Minimum,Correct TS
UNUWEG,0,0.5,20.4,12.3,-63,20.4,12.3,Minimum,Minimum,Correct TS
UPALED,0,-6.6,15.4,13.9,-63,22,20.5,Minimum,Minimum,Correct TS
UPANIJ,0,-8.1,14,12.2,-63,22.1,20.4,Minimum,Minimum,Correct TS
UPAPEH,0,-8.8,10,8.9,-63,18.7,17.6,Minimum,Minimum,Correct TS
UPAVEO,0,6.2,17.2,13.6,-63,17.2,13.6,Minimum,Minimum,Correct TS
UPAXAL,0,-7,14.1,13.8,-63,21.1,20.9,Minimum,Minimum,Correct TS
UPIQUH,0,-12.2,15,10.4,-63,27.3,22.6,Minimum,Minimum,Correct TS
UPUMAU,0,-4.8,12.1,12.5,-63,16.9,17.3,Minimum,Minimum,Correct TS
UQAFEZ,0,-17.1,15.2,13.8,-63,32.2,30.9,Minimum,Minimum,Correct TS
UQEXOE,0,-8.2,12.7,10.4,-63,20.9,18.6,Minimum,Minimum,Correct TS
UQIBAZ,0,-3.5,16.4,14.4,-63,19.9,17.9,Minimum,Minimum,Correct TS
UQIBED,0,-3.1,14.7,11.4,-63,17.7,14.5,Minimum,Minimum,Correct TS
UQOJIU,0,-20.8,-8.9,-11.4,-63,11.9,9.4,Minimum,Minimum,Correct TS
UQUDOA,0,-6.7,11.2,10.7,-63,17.9,17.4,Minimum,Minimum,Correct TS
URAKUU,0,-5.6,16.9,12.5,-63,22.5,18.1,Minimum,Minimum,Correct TS
URAYAO,0,-12.8,8.1,9.2,-63,20.9,22,Minimum,Minimum,Correct TS
UREGUU,0,-5,15.5,8.5,-63,20.5,13.5,Minimum,Minimum,Correct TS
URESIU,0,-13.9,13.4,12.1,-63,27.3,26,Minimum,Minimum,Correct TS
USEWAS,0,-4.1,19,17.1,-63,23.1,21.2,Minimum,Minimum,Correct TS
USOTEC,0,-11.2,10.2,8.2,-63,21.5,19.4,Minimum,Minimum,Correct TS
USUHEW,0,-3.9,23.9,16.5,-63,27.8,20.4,Minimum,Minimum,Correct TS
USUNED,0,-14.8,1.5,4.7,-63,16.3,19.5,Minimum,Minimum,Correct TS
UTOHAN,0,-6.5,12.4,13,-63,18.9,19.5,Minimum,Minimum,Correct TS
UVEKEM,0,-5.1,20.3,13.1,-63,25.4,18.2,Minimum,Minimum,Correct TS
UVESUL,0,-4.3,13.4,12.9,-63,17.7,17.2,Minimum,Minimum,Correct TS
UVOJEV,0,-8.2,14.2,10.6,-63,22.4,18.8,Minimum,Minimum,Correct TS
UVOJOG02,0,-5.4,18.3,10.9,-63,23.7,16.4,Minimum,Minimum,Correct TS
UVUQOS,0,-2.5,14.1,13.1,-63,16.6,15.5,Minimum,Minimum,Correct TS
UVUTIQ,0,-16.4,1.7,7.9,-63,18.1,24.3,Minimum,Minimum,Correct TS
UWATES,0,-2.3,14.9,11.6,-63,17.2,13.8,Minimum,Minimum,Correct TS
UWUJAZ,0,-12.2,-1.3,4.1,-63,10.9,16.4,Minimum,Minimum,Correct TS
UWURUB,0,-16,2.3,0.2,-63,18.3,16.2,Minimum,Minimum,Correct TS
UXAMOX02,0,-9,12.5,7.6,-63,21.5,16.7,Minimum,Minimum,Correct TS
UXEYIG,0,-5.2,19.8,12.3,-63,25,17.6,Minimum,Minimum,Correct TS
UXILOE02,0,-8.6,14.4,9.7,-63,23,18.3,Minimum,Minimum,Correct TS
UYILEV,0,-12.6,12.7,12.2,-63,25.3,24.8,Minimum,Minimum,Correct TS
UZILUM,0,-4.6,13.8,10.8,-63,18.5,15.4,Minimum,Minimum,Correct TS
VABBOR,0,-4.3,15.5,14.2,-63,19.8,18.5,Minimum,Minimum,Correct TS
VABGEM,0,-4.3,12.6,7.7,-63,16.9,12,Minimum,Minimum,Correct TS
VACDAG,0,-5.5,19.1,10.3,-63,24.5,15.8,Minimum,Minimum,Correct TS
VACDEK,0,-7,11.9,15.1,-63,18.9,22.1,Minimum,Minimum,Correct TS
VACYIH,0,-2.6,-11.2,13.4,-63,-8.6,16,Minimum,Minimum,Correct TS
VADTAV,0,-9.4,10.2,9.1,-63,19.6,18.4,Minimum,Minimum,Correct TS
VAFRIE,0,-3,15.7,15.7,-63,18.7,18.7,Minimum,Minimum,Correct TS
VAFWEF,0,-5.6,12.3,11.9,-63,17.9,17.5,Minimum,Minimum,Correct TS
VAGTED,0,-10.1,16.5,11.4,-63,26.6,21.6,Minimum,Minimum,Correct TS
VAJLAW,0,-6.1,12.2,10.7,-63,18.4,16.9,Minimum,Minimum,Correct TS
VAJTEI,0,-15.7,2.4,2.3,-63,18.1,18,Minimum,Minimum,Correct TS
VAKBAN,0,-15.8,-1294.6,9,-63,-1278.7,24.8,Minimum,Minimum,Correct TS
VAKNOL,0,-8.4,4.8,5.6,-63,13.2,13.9,Minimum,Minimum,Correct TS
VANCET,0,-8.8,12.6,11.3,-63,21.3,20,Minimum,Minimum,Correct TS
VANCIY,0,-5.5,15.8,12.6,-63,21.2,18.1,Minimum,Minimum,Correct TS
VAPGOL,0,-3.1,9.4,6.5,-63,12.5,9.5,Minimum,Minimum,Correct TS
VATFON,0,-3.8,16.4,12,-63,20.1,15.8,Minimum,Minimum,Correct TS
VATZAT,0,-7.3,10.4,8.5,-63,17.7,15.7,Minimum,Minimum,Correct TS
VAWWIZ,0,-2.7,13.3,13.3,-63,16.1,16,Minimum,Minimum,Correct TS
VAXQUI,0,-6.4,13.1,13.8,-63,19.5,20.2,Minimum,Minimum,Correct TS
VAXXOJ,0,-3.5,15.8,12.4,-63,19.3,15.9,Minimum,Minimum,Correct TS
VAYJAG06,0,-3.8,13.7,9.2,-63,17.5,13.1,Minimum,Minimum,Correct TS
VAYJUC,0,-10.6,4.3,11.4,-63,14.8,22,Minimum,Minimum,Correct TS
VAZJOY,0,-7,14.7,26.3,-63,21.7,33.3,Minimum,Minimum,Correct TS
VAZYUS,0,-18.7,4.2,3.3,-63,22.9,22,Minimum,Minimum,Correct TS
VEBBOT,0,-4,18.9,10.3,-63,22.9,14.3,Minimum,Minimum,Correct TS
VEBTEC,0,-3.7,16.4,12.6,-63,20.1,16.3,Minimum,Minimum,Correct TS
VEBTIG,0,-3.8,12.4,11.7,-63,16.2,15.5,Minimum,Minimum,Correct TS
VECKIY,0,-3.3,16.7,13.6,-63,20.1,16.9,Minimum,Minimum,Correct TS
VECTAY,0,-9.1,11.4,9.2,-63,20.5,18.3,Minimum,Minimum,Correct TS
VEGREE,0,-2.9,17.7,13.6,-63,20.6,16.5,Minimum,Minimum,Correct TS
VEJPEF,0,-15,41.3,15.6,-63,56.3,30.7,Minimum,Minimum,Correct TS
VEKPOR,0,-13.2,20.2,9.6,-63,33.4,22.8,Minimum,Minimum,Correct TS
VEKTOW,0,-6.7,36.9,15.9,-63,43.6,22.5,Minimum,Minimum,Correct TS
VELLII,0,-5.6,34.5,12,-63,40.1,17.6,Minimum,Minimum,Correct TS
VELLOP,0,-21.3,0.2,-0.3,-63,21.6,21,Minimum,Minimum,Correct TS
VELZOB,0,-2.3,24.5,26,-63,26.8,28.3,Minimum,Minimum,Correct TS
VEMDAS,0,-2.8,13.3,9.7,-63,16.2,12.5,Minimum,Minimum,Correct TS
VENTLG,0,-12.5,9.3,8.2,-63,21.8,20.7,Minimum,Minimum,Correct TS
VENVIW,0,-4.1,1.3,9.2,-63,5.4,13.3,Minimum,Minimum,Correct TS
VEPDEA,0,-4.1,18.3,13,-63,22.4,17.1,Minimum,Minimum,Correct TS
VEPKAC,0,-7,7,11.2,-63,14.1,18.3,Minimum,Minimum,Correct TS
VEQVES01,0,-9,10,8.6,-63,19.1,17.7,Minimum,Minimum,Correct TS
VERSIC,0,-11.6,8.6,10.4,-63,20.2,22,Minimum,Minimum,Correct TS
VESKAG,0,-11.7,-7.8,16.7,-63,4,28.5,Minimum,Minimum,Correct TS
VESMAJ,0,-8.1,-28.6,9.3,-63,-20.5,17.3,Minimum,Minimum,Correct TS
VETPEQ,0,-4.9,9.6,10.3,-63,14.5,15.3,Minimum,Minimum,Correct TS
VEWJEO,0,-7,6.8,10.2,-63,13.7,17.2,Minimum,Minimum,Correct TS
VEWMOA,0,-4.8,14.1,12.8,-63,18.9,17.6,Minimum,Minimum,Correct TS
VEWROE,0,-15.6,14.9,7.7,-63,30.5,23.2,Minimum,Minimum,Correct TS
VEXJAL,0,-10.3,10,11.7,-63,20.3,22,Minimum,Minimum,Correct TS
VEXJEO,0,-7.3,7.9,7.2,-63,15.2,14.5,Minimum,Minimum,Correct TS
VEXZOP,0,-9.8,4.9,7.6,-63,14.7,17.4,Minimum,Minimum,Correct TS
VEYGEL02,0,-4.7,17.8,10.6,-63,22.5,15.3,Minimum,Minimum,Correct TS
VEYLOD,0,-5.9,16.1,12.5,-63,22,18.5,Minimum,Minimum,Correct TS
VEYLUJ,0,-7.3,6.6,9.5,-63,14,16.9,Minimum,Minimum,Correct TS
VEZKOD,0,-9.1,15.4,9.5,-63,24.5,18.5,Minimum,Minimum,Correct TS
VIBCAM,0,7.3,12.1,12.1,-63,12.1,12.1,Minimum,Minimum,Correct TS
VIBCEQ,0,-5.3,13.8,12.3,-63,19.2,17.7,Minimum,Minimum,Correct TS
VIDHOI,0,-14.6,6,2.5,-63,20.5,17,Minimum,Minimum,Correct TS
VIGCIX,0,-12.1,11.5,8.4,-63,23.6,20.5,Minimum,Minimum,Correct TS
VIGXEO,0,-8,7.7,9.7,-63,15.7,17.7,Minimum,Minimum,Correct TS
VIKKUW,0,-2.6,14.5,12.7,-63,17.1,15.3,Minimum,Minimum,Correct TS
VILZEV,0,-13.8,11,11.9,-63,24.8,25.7,Minimum,Minimum,Correct TS
VINWOG,0,-3.3,20.5,15.5,-63,23.8,18.8,Minimum,Minimum,Correct TS
VIPFEI,0,-6.6,10.6,10.6,-63,17.2,17.2,Minimum,Minimum,Correct TS
VIPMEP,0,-5.1,12,10.3,-63,17.1,15.4,Minimum,Minimum,Correct TS
VIPPIU,0,-4.1,19.4,12.2,-63,23.4,16.3,Minimum,Minimum,Correct TS
VIPSAP,0,-13.6,2.5,6.7,-63,16.1,20.3,Minimum,Minimum,Correct TS
VIPSIY,0,-9.6,9.3,8.4,-63,18.9,18,Minimum,Minimum,Correct TS
VIQYUS,0,-8.1,13.3,12.2,-63,21.5,20.3,Minimum,Minimum,Correct TS
VIRDEH,0,-6,9.3,11.7,-63,15.3,17.7,Minimum,Minimum,Correct TS
VIRDOP,0,-8.3,13.7,8.7,-63,22.1,17,Minimum,Minimum,Correct TS
VIRHAF,0,-14.4,3.9,6.1,-63,18.3,20.5,Minimum,Minimum,Correct TS
VIRHEJ,0,-14.2,4.4,6.7,-63,18.6,20.9,Minimum,Minimum,Correct TS
VISJOY,0,-15.8,-2.5,8,-63,13.2,23.8,Minimum,Minimum,Correct TS
VIVMAR,0,-11,12,12.5,-63,23,23.5,Minimum,Minimum,Correct TS
VIVTAV,0,-6.1,9.8,11.6,-63,15.9,17.7,Minimum,Minimum,Correct TS
VIVZIJ,0,-5.4,14.4,13,-63,19.8,18.4,Minimum,Minimum,Correct TS
VIXMUL,0,-4.3,23.6,12.6,-63,27.9,16.9,Minimum,Minimum,Correct TS
VIXNEY,0,-10,10,8.1,-63,20,18,Minimum,Minimum,Correct TS
VIXNIC,0,-9.6,10.3,8.3,-63,19.9,17.9,Minimum,Minimum,Correct TS
VIXWOR,0,-7.5,12.6,9.2,-63,20.1,16.7,Minimum,Minimum,Correct TS
VIYJIW,0,-4.7,12.7,12.3,-63,17.4,17,Minimum,Minimum,Correct TS
VIYQOL,0,-9.7,3.8,5.5,-63,13.5,15.2,Minimum,Minimum,Correct TS
VOBCIA,0,0.7,20.3,13,-63,20.3,13,Minimum,Minimum,Correct TS
VOBLUV,0,-4.2,13.4,10.3,-63,17.5,14.4,Minimum,Minimum,Correct TS
VOBMEG,0,-4,13.2,10.6,-63,17.2,14.6,Minimum,Minimum,Correct TS
VOCDID,0,-5.1,14.1,11.7,-63,19.2,16.8,Minimum,Minimum,Correct TS
VOFHOQ,0,-14.6,6.7,5.7,-63,21.3,20.3,Minimum,Minimum,Correct TS
VOFTOZ,0,-11.3,-14.9,5.2,-63,-3.6,16.5,Minimum,Minimum,Correct TS
VOFTUH,0,-7.4,10.8,10.6,-63,18.2,18,Minimum,Minimum,Correct TS
VOHBUR,0,-10.2,8.7,5.8,-63,18.9,16,Minimum,Minimum,Correct TS
VOHCAY,0,-8.3,14.7,9.9,-63,23,18.2,Minimum,Minimum,Correct TS
VOHDAZ,0,-4.3,7.9,8.3,-63,12.2,12.6,Minimum,Minimum,Correct TS
VOHJOU,0,-9.1,2.2,9.8,-63,11.3,18.8,Minimum,Minimum,Correct TS
VOHZUP,0,-11.8,9.7,10.7,-63,21.5,22.4,Minimum,Minimum,Correct TS
VOJRIY,0,-3.5,21.1,16.1,-63,24.6,19.6,Minimum,Minimum,Correct TS
VOKBON,0,-3.6,11.9,11.1,-63,15.5,14.7,Minimum,Minimum,Correct TS
VOKGUZ,0,-10.4,11.7,8.7,-63,22.1,19.1,Minimum,Minimum,Correct TS
VOLDAC,0,-6.4,11,12.8,-63,17.4,19.2,Minimum,Minimum,Correct TS
VOLWUQ,0,-5.9,15.6,10.5,-63,21.5,16.4,Minimum,Minimum,Correct TS
VOMROF,0,-14.5,-10.4,6.7,-63,4.2,21.2,Minimum,Minimum,Correct TS
VOMXIE,0,-14.9,1.6,4.7,-63,16.4,19.5,Minimum,Minimum,Correct TS
VOPJEP,0,-6.2,9.1,10.1,-63,15.3,16.3,Minimum,Minimum,Correct TS
VOQKAO,0,-1.9,17.6,15.5,-63,19.4,17.4,Minimum,Minimum,Correct TS
VOQKUI,0,-12.7,-4.3,8.5,-63,8.4,21.2,Minimum,Minimum,Correct TS
VOQNOF,0,-7.6,9.5,8.9,-63,17,16.5,Minimum,Minimum,Correct TS
VOQSIG,0,-4.8,13,10.5,-63,17.9,15.3,Minimum,Minimum,Correct TS
VOQXOP,0,-4.8,16.1,12.3,-63,20.9,17.1,Minimum,Minimum,Correct TS
VORCUB,0,-6,14.9,10.8,-63,20.9,16.7,Minimum,Minimum,Correct TS
VORGOA,0,-3.4,23.5,13.7,-63,26.9,17.1,Minimum,Minimum,Correct TS
VORJOB,0,-12.3,16.7,10.5,-63,29,22.8,Minimum,Minimum,Correct TS
VORLAQ,0,-4.6,14.2,10.8,-63,18.8,15.3,Minimum,Minimum,Correct TS
VOSDUC,0,-7.3,29.3,9.2,-63,36.6,16.5,Minimum,Minimum,Correct TS
VOTMEY,0,10.5,16.2,9.4,-63,16.2,9.4,Minimum,Minimum,Correct TS
VOVXEL,0,-10.1,17.7,13,-63,27.8,23.1,Minimum,Minimum,Correct TS
VOVXIP,0,-8.6,15.3,11.9,-63,23.9,20.5,Minimum,Minimum,Correct TS
VOWCOC,0,-6.6,13.3,9.2,-63,19.8,15.7,Minimum,Minimum,Correct TS
VOWRIK,0,-8.4,10.5,11,-63,18.8,19.3,Minimum,Minimum,Correct TS
VOXHEV,0,-4.1,7.5,13.1,-63,11.6,17.3,Minimum,Minimum,Correct TS
VOXLAV,0,-5.4,19.4,11.3,-63,24.9,16.7,Minimum,Minimum,Correct TS
VOYTIP,0,-6.5,-29.1,10.1,-63,-22.5,16.6,Minimum,Minimum,Correct TS
VOZHUN,0,-7.2,12.1,12.5,-63,19.3,19.7,Minimum,Minimum,Correct TS
VUFMOY,0,-8.8,10.3,25.6,-63,19.2,34.4,Minimum,Minimum,Correct TS
VUHKIV,0,-6.4,3.7,7,-63,10.1,13.4,Minimum,Minimum,Correct TS
VUHMAM,0,-8.1,11.3,9.5,-63,19.3,17.5,Minimum,Minimum,Correct TS
VUHMOA,0,-8.1,12.6,7.3,-63,20.7,15.4,Minimum,Minimum,Correct TS
VUJLES,0,-2.6,18.7,13.8,-63,21.3,16.5,Minimum,Minimum,Correct TS
VUKCOW,0,-13.2,12.5,8.9,-63,25.6,22.1,Minimum,Minimum,Correct TS
VUKWON,0,-8,9,9.3,-63,17,17.3,Minimum,Minimum,Correct TS
VULQOJ,0,-4.9,13.4,11.7,-63,18.3,16.6,Minimum,Minimum,Correct TS
VUMXAF,0,-8.9,11.1,10.6,-63,20,19.6,Minimum,Minimum,Correct TS
VUNTON,0,-7.2,18.8,12.8,-63,26,20,Minimum,Minimum,Correct TS
