Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
ULUVUS,0,-5,19.1,14,-63,24.1,19,Minimum,Minimum,Correct TS
ULUWAZ,0,-4.5,19.2,13.3,-63,23.7,17.8,Minimum,Minimum,Correct TS
UMAKOK,0,-5.5,15.2,12.5,-63,20.7,18,Minimum,Minimum,Correct TS
UMAYOW,0,2.5,-10.7,22.8,-63,-10.7,22.8,Minimum,Minimum,Correct TS
UMEXIV,0,-4,15.7,13.8,-63,19.7,17.8,Minimum,Minimum,Correct TS
UMEYOC,0,-12.9,2.1,8.3,-63,15.1,21.2,Minimum,Minimum,Correct TS
UMEZAP,0,-5.5,19.2,13,-63,24.7,18.5,Minimum,Minimum,Correct TS
UMIDAX,0,-44,-26,-23,-63,18,21,Minimum,Minimum,Correct TS
UMIJAB,0,-10,0.5,14.4,-63,10.5,24.4,Minimum,Minimum,Correct TS
UMIPOX,0,-13,-4.2,15.3,-63,8.8,28.3,Minimum,Minimum,Correct TS
UMIQUE,0,-4.9,14.6,13.6,-63,19.5,18.5,Minimum,Minimum,Correct TS
UMIRAL,0,-7.1,14,13.7,-63,21.1,20.8,Minimum,Minimum,Correct TS
UMIYUM,0,-13.7,-7.5,15.9,-63,6.2,29.7,Minimum,Minimum,Correct TS
UMOROD,0,-1.6,-9.9,12.2,-63,-8.4,13.8,Minimum,Minimum,Correct TS
UNALEB,0,-12.5,-5.4,7.8,-63,7.1,20.3,Minimum,Minimum,Correct TS
UNITAN,0,-7.2,36.4,13.6,-63,43.6,20.8,Minimum,Minimum,Correct TS
UNODOQ,0,-12.4,14.2,12,-63,26.6,24.4,Minimum,Minimum,Correct TS
UNOJOW,0,-14.2,-9.5,12.6,-63,4.7,26.8,Minimum,Minimum,Correct TS
UNUCEM,0,-1.2,17.6,15.6,-63,18.8,16.8,Minimum,Minimum,Correct TS
UNUDUD02,0,-9.8,-8.7,7.2,-63,1.1,17,Minimum,Minimum,Correct TS
UNUGAM,0,-8.3,9.9,8.6,-63,18.3,16.9,Minimum,Minimum,Correct TS
UNUHIV,0,-11.2,3.5,6.7,-63,14.7,17.9,Minimum,Minimum,Correct TS
UNUPEA,0,-1.4,-7.8,12.8,-63,-6.4,14.3,Minimum,Minimum,Correct TS
UNUWEG,0,0.5,20.4,12.3,-63,20.4,12.3,Minimum,Minimum,Correct TS
UNUZIN,0,-13.2,-8.7,13.3,-63,4.5,26.5,Minimum,Minimum,Correct TS
UPABOD,0,-0.9,9.8,12.8,-63,10.7,13.8,Minimum,Minimum,Correct TS
UPAHEA,0,-4.5,-10.3,13,-63,-5.8,17.5,Minimum,Minimum,Correct TS
UPALED,0,-6.6,15.4,13.9,-63,22,20.5,Minimum,Minimum,Correct TS
UPANIJ,0,-8.1,14,12.2,-63,22.1,20.4,Minimum,Minimum,Correct TS
UPAPEH,0,-8.8,10,8.9,-63,18.7,17.6,Minimum,Minimum,Correct TS
UPAVEO,0,6.2,17.2,13.6,-63,17.2,13.6,Minimum,Minimum,Correct TS
UPAXAL,0,-7,14.1,13.8,-63,21.1,20.9,Minimum,Minimum,Correct TS
UPAYAM,0,-2,-3.4,16,-63,-1.4,18,Minimum,Minimum,Correct TS
UPEBOH,0,0.7,3.8,14.7,-63,3.8,14.7,Minimum,Minimum,Correct TS
UPEJAC,0,-2.5,-10.1,11.8,-63,-7.5,14.3,Minimum,Minimum,Correct TS
UPENEJ,0,-5.9,-10.2,13.5,-63,-4.3,19.4,Minimum,Minimum,Correct TS
UPENIN,0,-4.3,-8.6,13.7,-63,-4.2,18,Minimum,Minimum,Correct TS
UPETOA,0,-4.1,-4.5,18.6,-63,-0.3,22.7,Minimum,Minimum,Correct TS
UPIBIF,0,-5.6,5.1,13.8,-63,10.7,19.4,Minimum,Minimum,Correct TS
UPIQUH,0,-12.2,15,10.4,-63,27.3,22.6,Minimum,Minimum,Correct TS
UPOBAD,0,-13.7,-10.4,12.8,-63,3.4,26.5,Minimum,Minimum,Correct TS
UPOBUY,0,-10.7,-4.1,3.9,-63,6.5,14.6,Minimum,Minimum,Correct TS
UPOGAJ,0,-1.7,-5.4,22.4,-63,-3.7,24.1,Minimum,Minimum,Correct TS
UPUMAU,0,-4.8,12.1,12.5,-63,16.9,17.3,Minimum,Minimum,Correct TS
UQAFAV,0,-2.5,-4.8,17.2,-63,-2.3,19.6,Minimum,Minimum,Correct TS
UQENIO,0,-6,7.2,17.3,-63,13.2,23.3,Minimum,Minimum,Correct TS
UQETUG,0,-9.4,64.9,13.1,-63,74.2,22.5,Minimum,Minimum,Correct TS
UQETUH,0,-10,6.7,8.4,-63,16.6,18.4,Minimum,Minimum,Correct TS
UQEVUJ,0,-8.9,-0.6,11.2,-63,8.3,20.1,Minimum,Minimum,Correct TS
UQEXOE,0,-8.2,12.7,10.4,-63,20.9,18.6,Minimum,Minimum,Correct TS
UQIBAZ,0,-3.5,16.4,14.4,-63,19.9,17.9,Minimum,Minimum,Correct TS
UQIBED,0,-3.1,14.7,11.4,-63,17.7,14.5,Minimum,Minimum,Correct TS
UQIHAE,0,-1.4,-0.8,14.7,-63,0.6,16.2,Minimum,Minimum,Correct TS
UQIHEI,0,-5.2,-6.6,12.7,-63,-1.4,17.9,Minimum,Minimum,Correct TS
UQIQOB,0,-15.4,-10.6,2.6,-63,4.8,18.1,Minimum,Minimum,Correct TS
UQUDOA,0,-6.7,11.2,10.7,-63,17.9,17.4,Minimum,Minimum,Correct TS
UQUDUG,0,0.5,-10.1,12.9,-63,-10.1,12.9,Minimum,Minimum,Correct TS
UQUDUH01,0,-3.4,-1.7,13.9,-63,1.7,17.3,Minimum,Minimum,Correct TS
URAHIF,0,-13.7,-10.8,12.3,-63,2.9,26,Minimum,Minimum,Correct TS
URAHIG,0,-12.8,1.9,8.7,-63,14.7,21.5,Minimum,Minimum,Correct TS
URAKUU,0,-5.6,16.9,12.5,-63,22.5,18.1,Minimum,Minimum,Correct TS
URALUV,0,-13.5,-8.3,13.8,-63,5.2,27.3,Minimum,Minimum,Correct TS
URANEH,0,-14.4,-6.6,12,-63,7.8,26.3,Minimum,Minimum,Correct TS
URASIQ,0,-13.4,-5.5,18.6,-63,7.9,32.1,Minimum,Minimum,Correct TS
URATIS,0,-6,-3.4,13.4,-63,2.6,19.4,Minimum,Minimum,Correct TS
URAYAO,0,-12.8,8.1,9.2,-63,20.9,22,Minimum,Minimum,Correct TS
URECOK,0,-5.4,-4.1,12.5,-63,1.3,18,Minimum,Minimum,Correct TS
URECUQ,0,-6.1,0.4,17.1,-63,6.5,23.2,Minimum,Minimum,Correct TS
UREDAX,0,-5.6,-3.8,11.9,-63,1.8,17.4,Minimum,Minimum,Correct TS
UREDEB,0,-10.4,-6.4,15.1,-63,3.9,25.5,Minimum,Minimum,Correct TS
UREGUU,0,-5,15.5,8.5,-63,20.5,13.5,Minimum,Minimum,Correct TS
URELIO,0,-6.5,-11,14.1,-63,-4.5,20.7,Minimum,Minimum,Correct TS
URESIU,0,-13.9,13.4,12.1,-63,27.3,26,Minimum,Minimum,Correct TS
URICAC02,0,-10.5,-5.2,11.6,-63,5.3,22.2,Minimum,Minimum,Correct TS
UROHOZ,0,-12.5,1.4,8.3,-63,13.9,20.8,Minimum,Minimum,Correct TS
UROJIW,0,-6.4,12.9,8.6,-63,19.2,15,Minimum,Minimum,Correct TS
UROWAB,0,-3.7,-1.6,15.7,-63,2.2,19.4,Minimum,Minimum,Correct TS
URUQUU,0,-3.7,-13.5,10.6,-63,-9.8,14.4,Minimum,Minimum,Correct TS
USALIK,0,-5.4,-12.1,13.7,-63,-6.7,19.1,Minimum,Minimum,Correct TS
USAVAN,0,-3.9,19.3,13.7,-63,23.1,17.6,Minimum,Minimum,Correct TS
USEWAS,0,-4.1,19,17.1,-63,23.1,21.2,Minimum,Minimum,Correct TS
USIWEZ,0,-5.1,-15.5,13.1,-63,-10.3,18.2,Minimum,Minimum,Correct TS
USOGEQ,0,-13.7,-9.7,13,-63,4,26.7,Minimum,Minimum,Correct TS
USOMEV,0,-12.4,7.2,10.4,-63,19.6,22.8,Minimum,Minimum,Correct TS
USOMOF,0,-4.9,-5.1,18.4,-63,-0.2,23.3,Minimum,Minimum,Correct TS
USOTEC,0,-11.2,10.2,8.2,-63,21.5,19.4,Minimum,Minimum,Correct TS
USUHEW,0,-3.9,23.9,16.5,-63,27.8,20.4,Minimum,Minimum,Correct TS
USUNED,0,-14.8,1.5,4.7,-63,16.3,19.5,Minimum,Minimum,Correct TS
UTEPAL,0,-13.6,-10.5,13.5,-63,3.1,27.1,Minimum,Minimum,Correct TS
UTEZIE,0,-13.7,-11.7,13.5,-63,2,27.1,Minimum,Minimum,Correct TS
UTILIU,0,-3.2,-8.9,17.6,-63,-5.7,20.9,Minimum,Minimum,Correct TS
UTOHAN,0,-6.5,12.4,13,-63,18.9,19.5,Minimum,Minimum,Correct TS
UTOHOB,0,-2.3,-8.8,17.7,-63,-6.5,20,Minimum,Minimum,Correct TS
UTUKAX,0,-7.1,-8.6,13.1,-63,-1.5,20.2,Minimum,Minimum,Correct TS
UVAYIA,0,-8.2,-9.7,14,-63,-1.5,22.2,Minimum,Minimum,Correct TS
UVEKEM,0,-5.1,20.3,13.1,-63,25.4,18.2,Minimum,Minimum,Correct TS
UVESUL,0,-4.3,13.4,12.9,-63,17.7,17.2,Minimum,Minimum,Correct TS
UVIMIX,0,-6.4,-7.6,10.5,-63,-1.2,17,Minimum,Minimum,Correct TS
UVOJEV,0,-8.2,14.2,10.6,-63,22.4,18.8,Minimum,Minimum,Correct TS
UVOJOG02,0,-5.4,18.3,10.9,-63,23.7,16.4,Minimum,Minimum,Correct TS
UVOYEK,0,-9.6,-5.7,11.6,-63,4,21.2,Minimum,Minimum,Correct TS
UVUQOS,0,-2.5,14.1,13.1,-63,16.6,15.5,Minimum,Minimum,Correct TS
UVUTIQ,0,-16.4,1.7,7.9,-63,18.1,24.3,Minimum,Minimum,Correct TS
UVUYAN,0,-3.7,-9,11.4,-63,-5.3,15.1,Minimum,Minimum,Correct TS
UWAHUW,0,0.5,-9,20.9,-63,-9,20.9,Minimum,Minimum,Correct TS
UWAJAE,0,0.5,-14.7,23.5,-63,-14.7,23.5,Minimum,Minimum,Correct TS
UWAKOU,0,-6.1,-5.3,12.3,-63,0.8,18.4,Minimum,Minimum,Correct TS
UWATES,0,-2.3,14.9,11.6,-63,17.2,13.8,Minimum,Minimum,Correct TS
UWUJAZ,0,-12.2,-1.3,4.1,-63,10.9,16.4,Minimum,Minimum,Correct TS
UWURUB,0,-16,2.3,0.2,-63,18.3,16.2,Minimum,Minimum,Correct TS
UXAMOX02,0,-9,12.5,7.6,-63,21.5,16.7,Minimum,Minimum,Correct TS
UXEYIG,0,-5.2,19.8,12.3,-63,25,17.6,Minimum,Minimum,Correct TS
UXICAH01,0,-13,-7.4,10.9,-63,5.7,23.9,Minimum,Minimum,Correct TS
UXILOE02,0,-8.6,14.4,9.7,-63,23,18.3,Minimum,Minimum,Correct TS
UXOPAA,0,-6,-5.6,10.8,-63,0.4,16.9,Minimum,Minimum,Correct TS
UXUGEB,0,-13.7,-10.1,11,-63,3.7,24.7,Minimum,Minimum,Correct TS
UXUJON,0,-10.3,1.3,7.8,-63,11.6,18.1,Minimum,Minimum,Correct TS
UXUKII,0,45.3,-18.8,18.9,-63,-18.8,18.9,Minimum,Minimum,Correct TS
UYATEV,0,-10.6,-9.4,8.1,-63,1.2,18.7,Minimum,Minimum,Correct TS
UYILEV,0,-12.6,12.7,12.2,-63,25.3,24.8,Minimum,Minimum,Correct TS
UYOQOQ,0,-13.7,6.2,6.9,-63,19.9,20.5,Minimum,Minimum,Correct TS
UYOSEI,0,-15.7,-10.2,8.9,-63,5.5,24.6,Minimum,Minimum,Correct TS
UYOSUX,0,-13.2,-10.2,12.8,-63,3,26,Minimum,Minimum,Correct TS
UYOTAE,0,-13.1,-10.4,13.1,-63,2.7,26.3,Minimum,Minimum,Correct TS
UYOTOS,0,-13,-10.4,13.2,-63,2.7,26.3,Minimum,Minimum,Correct TS
UYOVAG,0,-13,-8.8,12.5,-63,4.1,25.5,Minimum,Minimum,Correct TS
UYUZUK,0,-5.2,-10.2,14.8,-63,-4.9,20,Minimum,Minimum,Correct TS
UZAKIR,0,-8.9,4.1,25.7,-63,13,34.6,Minimum,Minimum,Correct TS
UZILUM,0,-4.6,13.8,10.8,-63,18.5,15.4,Minimum,Minimum,Correct TS
VABBOR,0,-4.3,15.5,14.2,-63,19.8,18.5,Minimum,Minimum,Correct TS
VABGEM,0,-4.3,12.6,7.7,-63,16.9,12,Minimum,Minimum,Correct TS
VABHIS,0,-3.8,2,11.8,-63,5.8,15.6,Minimum,Minimum,Correct TS
VABKIU,0,-7.8,-8.8,9.7,-63,-1,17.5,Minimum,Minimum,Correct TS
VABQIA,0,-2.5,-12.7,19.6,-63,-10.2,22,Minimum,Minimum,Correct TS
VABVAV,0,-0.4,-14.8,21.7,-63,-14.4,22.1,Minimum,Minimum,Correct TS
VABYEE,0,-11,-5.7,9.3,-63,5.3,20.3,Minimum,Minimum,Correct TS
VACDAG,0,-5.5,19.1,10.3,-63,24.5,15.8,Minimum,Minimum,Correct TS
VACDEK,0,-7,11.9,15.1,-63,18.9,22.1,Minimum,Minimum,Correct TS
VACSEY,0,-13.2,-11.2,14.3,-63,2.1,27.6,Minimum,Minimum,Correct TS
VACVIH,0,-2.3,-8.6,19.2,-63,-6.3,21.6,Minimum,Minimum,Correct TS
VACVUR,0,-14,16.2,11.8,-63,30.2,25.8,Minimum,Minimum,Correct TS
VACXEE,0,-3,-7.5,15,-63,-4.6,18,Minimum,Minimum,Correct TS
VACYEE,0,-5.8,-5.6,14.9,-63,0.2,20.7,Minimum,Minimum,Correct TS
VACYIH,0,-2.6,-11.2,13.4,-63,-8.6,16,Minimum,Minimum,Correct TS
VADTAV,0,-9.4,10.2,9.1,-63,19.6,18.4,Minimum,Minimum,Correct TS
VAFRIE,0,-3,15.7,15.7,-63,18.7,18.7,Minimum,Minimum,Correct TS
VAFWEF,0,-5.6,12.3,11.9,-63,17.9,17.5,Minimum,Minimum,Correct TS
VAFXEH,0,-4,-10,12.7,-63,-6.1,16.6,Minimum,Minimum,Correct TS
VAGTED,0,-10.1,16.5,11.4,-63,26.6,21.6,Minimum,Minimum,Correct TS
VAGWOP,0,-6.6,-10.6,12.5,-63,-4,19.1,Minimum,Minimum,Correct TS
VAHBIQ,0,-1.9,-4.9,10.2,-63,-3.1,12,Minimum,Minimum,Correct TS
VAHKUN,0,-4.3,-9.9,8.6,-63,-5.6,12.9,Minimum,Minimum,Correct TS
VAJFUI01,0,-6.5,-4.4,11.7,-63,2.1,18.3,Minimum,Minimum,Correct TS
VAJGAQ,0,-2.8,-0.7,15.2,-63,2.1,18,Minimum,Minimum,Correct TS
VAJLAW,0,-6.1,12.2,10.7,-63,18.4,16.9,Minimum,Minimum,Correct TS
VAJTEI,0,-15.7,2.4,2.3,-63,18.1,18,Minimum,Minimum,Correct TS
VAKBAN,0,-15.8,-1294.6,9,-63,-1278.7,24.8,Minimum,Minimum,Correct TS
VAKNOL,0,-8.4,4.8,5.6,-63,13.2,13.9,Minimum,Minimum,Correct TS
VAKNUR,0,-9.5,0.2,4.6,-63,9.7,14.1,Minimum,Minimum,Correct TS
VAKREF,0,-6.1,-3.8,13.6,-63,2.4,19.8,Minimum,Minimum,Correct TS
VAKTOS,0,-14.3,-10.5,11.8,-63,3.7,26.1,Minimum,Minimum,Correct TS
VALFIX,0,-2,-4.7,14.8,-63,-2.6,16.8,Minimum,Minimum,Correct TS
VALHOH,0,-15.9,-6.5,11.5,-63,9.5,27.4,Minimum,Minimum,Correct TS
VALMIF,0,-13.4,-11.7,12.2,-63,1.7,25.6,Minimum,Minimum,Correct TS
VAMXOY,0,-1.8,0.8,15,-63,2.6,16.7,Minimum,Minimum,Correct TS
VANCAQ,0,1.3,-3.2,24,-63,-3.2,24,Minimum,Minimum,Correct TS
VANCET,0,-8.8,12.6,11.3,-63,21.3,20,Minimum,Minimum,Correct TS
VANCIY,0,-5.5,15.8,12.6,-63,21.2,18.1,Minimum,Minimum,Correct TS
VAPGOL,0,-3.1,9.4,6.5,-63,12.5,9.5,Minimum,Minimum,Correct TS
VAPROV,0,-1.2,1.2,17.9,-63,2.4,19.1,Minimum,Minimum,Correct TS
VAQJON,0,0.6,-10.6,22.8,-63,-10.6,22.8,Minimum,Minimum,Correct TS
VAQJUT,0,-13.6,-18.2,2.9,-63,-4.6,16.5,Minimum,Minimum,Correct TS
VAQKAB,0,-6.8,-6.7,16.6,-63,0.1,23.4,Minimum,Minimum,Correct TS
VAQQOW,0,-16.3,-5.1,16,-63,11.2,32.4,Minimum,Minimum,Correct TS
VARFUR,0,-12.9,-10.1,15.9,-63,2.8,28.8,Minimum,Minimum,Correct TS
VARGOM,0,-13.1,-7.5,13.1,-63,5.6,26.2,Minimum,Minimum,Correct TS
VASDAV,0,-3.7,1.9,14.1,-63,5.5,17.8,Minimum,Minimum,Correct TS
VASQAH,0,-1.3,-9.2,13.4,-63,-7.9,14.7,Minimum,Minimum,Correct TS
VASWOC,0,-7.7,-8.8,16,-63,-1.2,23.7,Minimum,Minimum,Correct TS
VATFED,0,-4.6,-9.8,13.4,-63,-5.2,18,Minimum,Minimum,Correct TS
VATFON,0,-3.8,16.4,12,-63,20.1,15.8,Minimum,Minimum,Correct TS
VATGAA,0,-3,-8,14.9,-63,-5,17.9,Minimum,Minimum,Correct TS
VATHEG,0,-2.1,-13.2,16.3,-63,-11.2,18.4,Minimum,Minimum,Correct TS
VATLIM,0,-10.1,4.6,7.9,-63,14.6,18,Minimum,Minimum,Correct TS
VATZAT,0,-7.3,10.4,8.5,-63,17.7,15.7,Minimum,Minimum,Correct TS
VAVREP,0,-2.4,-10.2,19.3,-63,-7.9,21.6,Minimum,Minimum,Correct TS
VAVTOB,0,-12.3,-16.2,12,-63,-4,24.3,Minimum,Minimum,Correct TS
VAVZUO,0,-12.1,-14.9,8.3,-63,-2.8,20.5,Minimum,Minimum,Correct TS
VAWDOO,0,-7.2,15.7,12,-63,23,19.3,Minimum,Minimum,Correct TS
VAWGAB,0,-1,-8.9,13,-63,-8,14,Minimum,Minimum,Correct TS
VAWLUC,0,-7.3,-4.3,10.7,-63,3,18,Minimum,Minimum,Correct TS
VAWWIZ,0,-2.7,13.3,13.3,-63,16.1,16,Minimum,Minimum,Correct TS
VAXBUT,0,-12.4,-7.6,8.9,-63,4.7,21.2,Minimum,Minimum,Correct TS
VAXQUI,0,-6.4,13.1,13.8,-63,19.5,20.2,Minimum,Minimum,Correct TS
VAXXOJ,0,-3.5,15.8,12.4,-63,19.3,15.9,Minimum,Minimum,Correct TS
VAYJAG06,0,-3.8,13.7,9.2,-63,17.5,13.1,Minimum,Minimum,Correct TS
VAYKEN,0,-9.5,7.3,11,-63,16.8,20.5,Minimum,Minimum,Correct TS
VAZCIK,0,-10.3,10.2,8,-63,20.5,18.3,Minimum,Minimum,Correct TS
VAZJOY,0,-7,14.7,26.3,-63,21.7,33.3,Minimum,Minimum,Correct TS
VAZYUS,0,-18.7,4.2,3.3,-63,22.9,22,Minimum,Minimum,Correct TS
VEBBOT,0,-4,18.9,10.3,-63,22.9,14.3,Minimum,Minimum,Correct TS
VEBDUC,0,-14.4,-11,12.8,-63,3.4,27.2,Minimum,Minimum,Correct TS
VEBNOF01,0,-8,-11,12.9,-63,-3,20.9,Minimum,Minimum,Correct TS
VEBTEC,0,-3.7,16.4,12.6,-63,20.1,16.3,Minimum,Minimum,Correct TS
VEBTIG,0,-3.8,12.4,11.7,-63,16.2,15.5,Minimum,Minimum,Correct TS
VECKIY,0,-3.3,16.7,13.6,-63,20.1,16.9,Minimum,Minimum,Correct TS
VECROL,0,-13.4,-9.7,12.8,-63,3.7,26.2,Minimum,Minimum,Correct TS
VECTAY,0,-9.1,11.4,9.2,-63,20.5,18.3,Minimum,Minimum,Correct TS
VECVEF,0,-12.3,-10.7,13.5,-63,1.6,25.8,Minimum,Minimum,Correct TS
VEDCEN,0,-2.4,-2.1,19.7,-63,0.3,22.1,Minimum,Minimum,Correct TS
VEDKIY,0,-4.6,-14,17.9,-63,-9.5,22.4,Minimum,Minimum,Correct TS
VEDVEI,0,-7,9.4,8.9,-63,16.4,15.9,Minimum,Minimum,Correct TS
VEFRIK,0,0.2,-8.7,21.3,-63,-8.7,21.3,Minimum,Minimum,Correct TS
VEFXIP,0,-3.2,-7.5,14,-63,-4.4,17.2,Minimum,Minimum,Correct TS
VEGREE,0,-2.9,17.7,13.6,-63,20.6,16.5,Minimum,Minimum,Correct TS
VEHCOD,0,-4.3,-9.9,13.5,-63,-5.6,17.8,Minimum,Minimum,Correct TS
VEJPEF,0,-15,41.3,15.6,-63,56.3,30.7,Minimum,Minimum,Correct TS
VEKTOW,0,-6.7,36.9,15.9,-63,43.6,22.5,Minimum,Minimum,Correct TS
VEKZUI,0,-14.7,-10.9,13.4,-63,3.8,28,Minimum,Minimum,Correct TS
VELBAR,0,-14.4,-10.1,13.2,-63,4.3,27.6,Minimum,Minimum,Correct TS
VELBEV,0,-14,-10.7,12.6,-63,3.3,26.6,Minimum,Minimum,Correct TS
VELLII,0,-5.6,34.5,12,-63,40.1,17.6,Minimum,Minimum,Correct TS
VELLOP,0,-21.3,0.2,-0.3,-63,21.6,21,Minimum,Minimum,Correct TS
VELTIS,0,-5.1,-3.6,11.4,-63,1.6,16.5,Minimum,Minimum,Correct TS
VELTOX,0,-11.1,7.6,6.6,-63,18.7,17.7,Minimum,Minimum,Correct TS
VELWIT,0,-3.5,1.8,12.7,-63,5.3,16.1,Minimum,Minimum,Correct TS
VELZES,0,-15.7,-11.6,4.1,-63,4.1,19.8,Minimum,Minimum,Correct TS
VELZOB,0,-2.3,24.5,26,-63,26.8,28.3,Minimum,Minimum,Correct TS
VEMDAS,0,-2.8,13.3,9.7,-63,16.2,12.5,Minimum,Minimum,Correct TS
VENJON,0,-15.1,5.3,8.1,-63,20.4,23.2,Minimum,Minimum,Correct TS
VENTEN,0,-13,-2.4,5.2,-63,10.6,18.2,Minimum,Minimum,Correct TS
VENTLG,0,-12.5,9.3,8.2,-63,21.8,20.7,Minimum,Minimum,Correct TS
VENVIW,0,-4.1,1.3,9.2,-63,5.4,13.3,Minimum,Minimum,Correct TS
VEPDEA,0,-4.1,18.3,13,-63,22.4,17.1,Minimum,Minimum,Correct TS
VEPKAC,0,-7,7,11.2,-63,14.1,18.3,Minimum,Minimum,Correct TS
VEPKIL01,0,-4.4,-5.4,22.9,-63,-1,27.3,Minimum,Minimum,Correct TS
VEPYEW,0,-40.6,-51.8,6.4,-63,-11.3,47,Minimum,Minimum,Correct TS
VEQVES01,0,-9,10,8.6,-63,19.1,17.7,Minimum,Minimum,Correct TS
VERMEK,0,-0.4,-12.8,22.3,-63,-12.3,22.7,Minimum,Minimum,Correct TS
VERSIC,0,-11.6,8.6,10.4,-63,20.2,22,Minimum,Minimum,Correct TS
VESJIN,0,-3.3,-8.4,13.4,-63,-5.2,16.6,Minimum,Minimum,Correct TS
VESKAG,0,-11.7,-7.8,16.7,-63,4,28.5,Minimum,Minimum,Correct TS
VESMAJ,0,-8.1,-28.6,9.3,-63,-20.5,17.3,Minimum,Minimum,Correct TS
VETPEQ,0,-4.9,9.6,10.3,-63,14.5,15.3,Minimum,Minimum,Correct TS
VEVCOO,0,-2.9,-11,12.9,-63,-8.1,15.8,Minimum,Minimum,Correct TS
VEVMAK,0,-4.4,-10.7,15.6,-63,-6.3,20,Minimum,Minimum,Correct TS
VEVMAM,0,-13.4,-5.7,13.3,-63,7.8,26.8,Minimum,Minimum,Correct TS
VEVVOJ,0,-11.8,0.4,3.5,-63,12.3,15.3,Minimum,Minimum,Correct TS
VEWJEO,0,-7,6.8,10.2,-63,13.7,17.2,Minimum,Minimum,Correct TS
VEWMOA,0,-4.8,14.1,12.8,-63,18.9,17.6,Minimum,Minimum,Correct TS
VEWROE,0,-15.6,14.9,7.7,-63,30.5,23.2,Minimum,Minimum,Correct TS
VEXJAL,0,-10.3,10,11.7,-63,20.3,22,Minimum,Minimum,Correct TS
VEXJEO,0,-7.3,7.9,7.2,-63,15.2,14.5,Minimum,Minimum,Correct TS
VEXQAQ01,0,-6.1,2.3,8.7,-63,8.4,14.8,Minimum,Minimum,Correct TS
VEXZII,0,-3.2,-10.3,12.6,-63,-7,15.9,Minimum,Minimum,Correct TS
VEXZOP,0,-9.8,4.9,7.6,-63,14.7,17.4,Minimum,Minimum,Correct TS
VEYGEL02,0,-4.7,17.8,10.6,-63,22.5,15.3,Minimum,Minimum,Correct TS
VEYLOD,0,-5.9,16.1,12.5,-63,22,18.5,Minimum,Minimum,Correct TS
VEYLUJ,0,-7.3,6.6,9.5,-63,14,16.9,Minimum,Minimum,Correct TS
VEYQIB,0,-11.5,22.4,6.5,-63,33.9,18,Minimum,Minimum,Correct TS
VEYWUR,0,-9.7,-6,13.8,-63,3.8,23.5,Minimum,Minimum,Correct TS
VEZHIS,0,1.5,7.3,27.4,-63,7.3,27.4,Minimum,Minimum,Correct TS
VEZJAO,0,-15.1,-2.5,6.5,-63,12.6,21.6,Minimum,Minimum,Correct TS
VEZJES,0,-15.9,-6.8,5.3,-63,9.2,21.2,Minimum,Minimum,Correct TS
VEZKOD,0,-9.1,15.4,9.5,-63,24.5,18.5,Minimum,Minimum,Correct TS
VIBCAM,0,7.3,12.1,12.1,-63,12.1,12.1,Minimum,Minimum,Correct TS
VICGOE,0,-12.7,-7.1,15.3,-63,5.7,28,Minimum,Minimum,Correct TS
VICVOV,0,-6.2,-14.8,10.7,-63,-8.6,16.8,Minimum,Minimum,Correct TS
VIDHOI,0,-14.6,6,2.5,-63,20.5,17,Minimum,Minimum,Correct TS
VIDSIK,0,-13,-10.3,13.1,-63,2.7,26.1,Minimum,Minimum,Correct TS
VIFBUK,0,-12.5,0.4,7.7,-63,12.9,20.2,Minimum,Minimum,Correct TS
VIFLAX,0,-6.7,-6.2,12.6,-63,0.5,19.3,Minimum,Minimum,Correct TS
VIGCIX,0,-12.1,11.5,8.4,-63,23.6,20.5,Minimum,Minimum,Correct TS
VIGDOF,0,-13.5,-9,12.8,-63,4.5,26.3,Minimum,Minimum,Correct TS
VIGQEI,0,-2.8,-7.9,15.1,-63,-5.1,18,Minimum,Minimum,Correct TS
VIHTAI,0,-3.9,-3,11.1,-63,0.9,14.9,Minimum,Minimum,Correct TS
VIKGIG,0,-1.9,-2.1,20.1,-63,-0.2,22,Minimum,Minimum,Correct TS
VIKGUS,0,-7.4,5.7,10.4,-63,13.2,17.9,Minimum,Minimum,Correct TS
VIKKUW,0,-2.6,14.5,12.7,-63,17.1,15.3,Minimum,Minimum,Correct TS
VILKUY,0,-11.2,4.4,12,-63,15.6,23.2,Minimum,Minimum,Correct TS
VILZEV,0,-13.8,11,11.9,-63,24.8,25.7,Minimum,Minimum,Correct TS
VIMJAF,0,-1.8,-7.9,18.5,-63,-6.2,20.3,Minimum,Minimum,Correct TS
VIMJEJ,0,-2.1,-7.4,18.8,-63,-5.3,20.9,Minimum,Minimum,Correct TS
VIMJOT,0,-1.8,-10.4,19.6,-63,-8.7,21.4,Minimum,Minimum,Correct TS
VIMKEH,0,-1.6,2.1,17.6,-63,3.7,19.1,Minimum,Minimum,Correct TS
VIMPEN,0,-6.8,-5.7,12,-63,1.1,18.9,Minimum,Minimum,Correct TS
