Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
AFIHAZ,0,-5.4,-9.9,12.5,-63,-4.5,17.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFILIM,0,-2.1,-11.4,14.2,-63,-9.3,16.3,Minimum,Minimum,Incorrect TS,Correct TS
AFILIN,0,-3.1,-9.7,13.2,-63,-6.6,16.3,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AFINAG,0,-2.1,-2,13.7,-63,0.1,15.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFIPEM,0,-7.9,8,15,-63,15.9,22.9,Minimum,Minimum,Correct TS,Correct TS
AFIQEN,0,-22.8,-15.8,3.2,-63,7,26,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFIRAK,0,-9.6,1.2,8,-63,10.8,17.6,Not Minimum,Minimum,Correct TS,Correct TS
AFISIS,0,3.6,13.7,12.8,-63,13.7,12.8,Minimum,Minimum,Correct TS,Correct TS
AFIXUK,0,-23.7,-2.2,5.8,-63,21.5,29.4,Minimum,Minimum,Correct TS,Correct TS
AFLATC,0,-7.5,9.2,10.3,-63,16.6,17.8,Minimum,Minimum,Correct TS,Correct TS
AFOCUV,0,-3.5,15.3,13.9,-63,18.8,17.4,Minimum,Minimum,Correct TS,Correct TS
AFOFEG,0,-7.5,8.1,11.2,-63,15.6,18.7,Not Minimum,Minimum,Correct TS,Correct TS
AFOLUD,0,-10.2,5.3,7.2,-63,15.6,17.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFONOA01,0,-16.8,-29,4.5,-63,-12.2,21.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFOYIG,0,No Value,-1707.5,-1681.1,-63,No Value,No Value,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUFIS,0,-7.2,-12.3,13.8,-63,-5.1,21,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUJAO,0,-3.9,-5.1,16.2,-63,-1.2,20.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUJUJ,0,0.2,-14.7,13,-63,-14.7,13,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUROL,0,-25.4,14.3,23.6,-63,39.7,49,Minimum,Not Minimum,Correct TS,Correct TS
AFUSEC,0,-7.7,11.3,11.1,-63,19,18.8,Minimum,Minimum,Correct TS,Correct TS
AFUTDZ10,0,-14,18.8,14.7,-63,32.8,28.7,Minimum,Minimum,Correct TS,Correct TS
AFUVEE,0,-5.8,10.3,9.4,-63,16,15.2,Minimum,Minimum,Correct TS,Correct TS
AFUVOM,0,-20.1,-13.8,7.8,-63,6.3,27.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUVUS,0,-17.2,-9.8,11.3,-63,7.5,28.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFUXOR,0,-7,12.1,10.1,-63,19.1,17.1,Minimum,Minimum,Correct TS,Correct TS
AGADIX,0,-5.7,8.8,9.4,-63,14.5,15.1,Minimum,Minimum,Correct TS,Correct TS
AGAKIE,0,-6.7,8,9,-63,14.7,15.7,Minimum,Minimum,Correct TS,Correct TS
AGALAM10,0,0.7,-11.9,20.8,-63,-11.9,20.8,Minimum,Minimum,Incorrect TS,Correct TS
AGAMUS,0,-16.2,-11.6,-5.7,-63,4.6,10.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AGAXIR,0,-8.5,0.1,0.5,-63,8.6,9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEFUQ,0,-8.4,13.3,13.7,-63,21.7,22.2,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGEMEG,0,-5.2,15.4,11.5,-63,20.6,16.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGENAC,0,-3.5,-0.2,13.3,-63,3.3,16.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGENOS,0,-15.1,-7.7,5.4,-63,7.3,20.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEPEK,0,-16.1,2.2,5.4,-63,18.2,21.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGESEK,0,907.8,-8.8,25.1,-63,-8.8,25.1,Minimum,Not Minimum,Incorrect TS,Correct TS
AGESOX,0,-17.6,-6.3,4.5,-63,11.2,22.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEVOZ,0,-4,-11,14.5,-63,-7,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGEYER,0,1.2,18.7,14.2,-63,18.7,14.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGIBAV,0,-13.7,-18,6.8,-63,-4.3,20.5,Minimum,Minimum,Incorrect TS,Correct TS
AGIDOM,0,-11.8,16.4,12,-63,28.2,23.7,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGIGIJ,0,-12.5,12,12,-63,24.5,24.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGIGUV,0,-0.9,-7.7,14.4,-63,-6.8,15.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGIHEF,0,-6.5,16.9,11.7,-63,23.4,18.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGLCAM,0,-2.8,-9.1,19.4,-63,-6.3,22.2,Minimum,Minimum,Incorrect TS,Correct TS
AGOCOR,0,-1155.9,-1170.5,-1136.7,-63,-14.6,19.2,Not Minimum,Minimum,Incorrect TS,Correct TS
AGODOR,0,-10.1,2.9,9.7,-63,13.1,19.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOKOX,0,-1.2,-2.2,17,-63,-1,18.2,Minimum,Not Minimum,Incorrect TS,Correct TS
AGOLAK,0,-2.9,-4.8,15.7,-63,-1.9,18.7,Minimum,Minimum,Incorrect TS,Correct TS
AGOLIS,0,-1.7,-5.4,16.3,-63,-3.7,17.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOMAL,0,-1.3,-3.6,14.5,-63,-2.3,15.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOMEP,0,-0.5,-5.2,15.4,-63,-4.7,15.9,Minimum,Not Minimum,Incorrect TS,Correct TS
AGOQEU,0,-3.5,-8.4,17.8,-63,-4.9,21.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOROF,0,-0.5,5.1,13.3,-63,5.6,13.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOSEW,0,-16.3,-0.7,19.1,-63,15.7,35.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOSUM,0,-9,10.6,8.9,-63,19.6,17.9,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGOTIZ,0,-0.6,-7.8,20.4,-63,-7.2,21,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGUCEM,0,-4.9,11.5,13.5,-63,16.3,18.4,Minimum,Minimum,Correct TS,Correct TS
AGUJAO,0,-7,11.4,10.1,-63,18.4,17.1,Minimum,Minimum,Correct TS,Correct TS
AGULOF,0,-3.4,-11.6,12.5,-63,-8.2,15.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGURAV,0,-1,-9.2,21.5,-63,-8.3,22.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGUTON,0,-17,-18.1,2.6,-63,-1.1,19.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHATEI,0,-13.7,-11.1,12.1,-63,2.6,25.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHEKAZ01,0,-299,-315.2,-281,-63,-16.2,18.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHEWUF,0,-13.8,-30.8,7.4,-63,-17,21.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHGLCM,0,1.8,-4.8,21.7,-63,-4.8,21.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AHICIF01,0,-18.7,10.1,3.3,-63,28.8,22,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AHIDIT,0,-0.5,-11.8,19.2,-63,-11.3,19.7,Minimum,Minimum,Incorrect TS,Correct TS
AHIJEH,0,-14.9,7.6,5.6,-63,22.6,20.6,Minimum,Minimum,Correct TS,Correct TS
AHILIM,0,-13.1,-10.8,13,-63,2.3,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHILOS,0,-12.9,-11,13.2,-63,2,26.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHIMUA,0,-9.6,8,7.4,-63,17.6,17.1,Minimum,Minimum,Correct TS,Correct TS
AHINUA,0,-6.7,-5.9,13.4,-63,0.8,20,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHINUC,0,-13.4,-4.5,10.9,-63,8.9,24.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHIROA,0,-14.3,-9.1,13.4,-63,5.2,27.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHMPIC,0,-4,-1.5,12.6,-63,2.5,16.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHOQEW,0,-22.2,-11.8,-9.7,-63,10.4,12.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AHOVOJ,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Not Minimum,Minimum,Correct TS,Correct TS
AHOVUO,0,2,-17.1,21.6,-63,-17.1,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AHOWAV,0,0.8,-19.9,21.9,-63,-19.9,21.9,Minimum,Minimum,Incorrect TS,Incorrect TS
AHOXEC,0,-6.3,-9,11.7,-63,-2.7,17.9,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AHPAZP10,0,-13.4,9.9,4.8,-63,23.3,18.2,Minimum,Minimum,Correct TS,Correct TS
AHUHER,0,-10.7,15.8,15.3,-63,26.5,26,Minimum,Minimum,Correct TS,Correct TS
AHUKAQ,0,-599.7,-609.2,-576.1,-63,-9.5,23.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHXGLP,0,2.9,-5.7,23.5,-63,-5.7,23.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AIPTHL10,0,-5.9,18.4,13.8,-63,24.2,19.6,Minimum,Minimum,Incorrect TS,Correct TS
AISMRS,0,2.1,-17.4,21.1,-63,-17.4,21.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AJAFIA,0,-9657.8,-9684.2,-9646.8,-63,-26.4,11,Not Minimum,Not Minimum,Incorrect TS,Correct TS
AJAFOG,0,-182,-195.9,-163.5,-63,-13.8,18.6,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AJAFUM,0,-176.7,-178,-157,-63,-1.3,19.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAGEX,0,-15.1,-12.3,11,-63,2.8,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAGOJ,0,-4.2,-13.3,17.1,-63,-9.1,21.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAKAX,0,-13.7,-9.4,13,-63,4.3,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJASEK,0,-7.3,-17.7,33.7,-63,-10.4,41,Minimum,Minimum,Incorrect TS,Correct TS
AJISOD,0,-2.8,17.4,11.6,-63,20.2,14.4,Minimum,Minimum,Correct TS,Correct TS
AJIXOG,0,-42.4,-24.5,-25.6,-63,17.9,16.8,Not Minimum,Not Minimum,Correct TS,Correct TS
AJIYEX,0,-4.4,14,11.7,-63,18.4,16.1,Minimum,Minimum,Correct TS,Correct TS
AJIZAU,0,-4.7,13.6,11.4,-63,18.2,16,Minimum,Minimum,Correct TS,Correct TS
AJOHAK,0,-6,-3.9,11.6,-63,2.2,17.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOHEO,0,-4,-6.2,12.5,-63,-2.2,16.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOHOZ,0,0.2,2.6,13.4,-63,2.6,13.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AJONEV,0,-6.9,4.4,7.8,-63,11.3,14.6,Minimum,Minimum,Correct TS,Correct TS
AJONUL,0,-11.2,2.4,3.5,-63,13.6,14.8,Not Minimum,Not Minimum,Incorrect TS,Correct TS
AJOPOE01,0,-5.6,6.7,11.8,-63,12.4,17.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJUCOY,0,-8.9,6,8.2,-63,14.9,17.1,Minimum,Minimum,Correct TS,Correct TS
AJUJOF,0,-4.8,-1.1,20.7,-63,3.6,25.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKAKOM,0,-8.2,7.4,8.8,-63,15.6,17,Minimum,Minimum,Correct TS,Correct TS
AKAPIL,0,-23.6,-10.7,-12.2,-63,12.9,11.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AKAUAC,0,-13.3,-9.9,12.1,-63,3.4,25.5,Minimum,Minimum,Incorrect TS,Correct TS
AKAWAK,0,-6.3,17.9,11.3,-63,24.2,17.6,Minimum,Minimum,Correct TS,Correct TS
AKAWER,0,-18.5,2.4,6.8,-63,20.9,25.3,Minimum,Minimum,Correct TS,Correct TS
AKAWIS,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKAXAO,0,-9,-51.6,1.4,-63,-42.6,10.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEDUR,0,-2.8,11.2,12,-63,14,14.8,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
AKEFII,0,-5.1,14.6,12.2,-63,19.7,17.3,Minimum,Minimum,Correct TS,Correct TS
AKENAG,0,-3.9,-6.2,12.7,-63,-2.3,16.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEQEN,0,-7.1,11.1,11.4,-63,18.3,18.6,Minimum,Minimum,Correct TS,Correct TS
AKEQIR,0,-7.4,12,12.3,-63,19.3,19.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEQOX,0,-5.3,-2.9,13.4,-63,2.3,18.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKIHIN,0,-3.2,16.5,13.7,-63,19.7,16.9,Minimum,Minimum,Correct TS,Correct TS
AKILOV,0,-4.7,5,10.6,-63,9.7,15.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AKIWEW,0,0.5,-16,18.1,-63,-16,18.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOCOU,0,-17.2,-3.7,5.4,-63,13.5,22.6,Minimum,Minimum,Incorrect TS,Correct TS
AKOLAQ,0,-13.3,-9.6,12.8,-63,3.7,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOSUQ,0,-3.5,-7.9,14,-63,-4.5,17.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOTOL,0,-2,14.1,11.6,-63,16.1,13.6,Minimum,Minimum,Correct TS,Correct TS
AKUSOP,0,3.2,-9.7,18.5,-63,-9.7,18.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALABUK,0,-4.7,4.1,12.2,-63,8.8,16.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ALACEV01,0,-5.6,-2.5,12,-63,3.1,17.6,Minimum,Minimum,Incorrect TS,Correct TS
ALAGEZ,0,-3.4,34.1,13.8,-63,37.6,17.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALALIJ,0,-16.9,-2.4,6.6,-63,14.6,23.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALAMET01,0,-2.2,34.7,16,-63,36.9,18.2,Minimum,Minimum,Correct TS,Correct TS
ALANEH,0,-7,-10.6,11.8,-63,-3.6,18.8,Minimum,Not Minimum,Incorrect TS,Correct TS
ALAROU,0,-4.4,-8.1,14.3,-63,-3.7,18.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALECIE,0,2682.9,-5,23.8,-63,-5,23.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ALEGAC,0,-9.3,6.8,10.7,-63,16.1,20,Minimum,Minimum,Correct TS,Correct TS
ALEJOS,0,-5.9,-6.5,9.1,-63,-0.6,14.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALETIW,0,-9.2,10.5,8.5,-63,19.8,17.8,Minimum,Minimum,Correct TS,Correct TS
ALETOC,0,-7.5,-11.4,13.6,-63,-3.9,21.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALEVUK,0,-11.9,15.4,11.3,-63,27.3,23.3,Minimum,Minimum,Correct TS,Correct TS
ALGLYL,0,-9.9,-8,17,-63,2,27,Minimum,Not Minimum,Incorrect TS,Correct TS
ALIPUJ,0,1.8,-15.8,20.3,-63,-15.8,20.3,Minimum,Minimum,Incorrect TS,Incorrect TS
ALOBOV,0,-12.5,-16,7.4,-63,-3.5,19.9,Minimum,Minimum,Incorrect TS,Correct TS
ALODAH,0,-11.9,5.2,8.9,-63,17,20.8,Minimum,Minimum,Correct TS,Correct TS
ALOLIW,0,-6,18.8,12.5,-63,24.8,18.4,Minimum,Minimum,Correct TS,Correct TS
ALOMAR,0,0.1,-19.2,22.3,-63,-19.2,22.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ALOWEF,0,2.9,-15,22.9,-63,-15,22.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ALOXAN,0,-9.1,-21.4,-17.2,-63,-12.4,-8.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALPALC10,0,-0.1,37.8,32.5,-63,37.9,32.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALUJIC,0,-5,14.1,11.6,-63,19,16.6,Minimum,Minimum,Correct TS,Correct TS
ALUNIE,0,-60.4,-49.2,-52.9,-63,11.2,7.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALUNOL,0,-108.1,-84.5,-87,-63,23.6,21.1,Not Minimum,Minimum,Correct TS,Correct TS
ALUXUC,0,-1.4,-0.2,19.6,-63,1.2,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALUZUE,0,-11.4,9.2,8.9,-63,20.7,20.4,Not Minimum,Minimum,Correct TS,Correct TS
ALXANM11,0,-4.3,15.2,13.8,-63,19.4,18.1,Minimum,Minimum,Correct TS,Correct TS
AMALEH,0,3.9,-0.5,20.9,-63,-0.5,20.9,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AMANOF,0,0.4,-6.7,21.3,-63,-6.7,21.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMAPTZ,0,-12.5,1.4,7.9,-63,13.9,20.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMAQIQ,0,-2.1,-10.4,20.3,-63,-8.4,22.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMATEO,0,-12.5,5.1,8.7,-63,17.6,21.2,Minimum,Minimum,Correct TS,Correct TS
AMAYAQ,0,-1742.1,-1752.8,-1721.3,-63,-10.7,20.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMAYEU,0,-212.3,-229.4,No Value,-63,-17.1,No Value,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
AMAYIY,0,-13.8,-9.5,13.7,-63,4.4,27.5,Minimum,Minimum,Incorrect TS,Correct TS
AMBACO10,0,-13.9,-10.4,12.5,-63,3.5,26.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMBNAC04,0,-13.4,-9.5,13.3,-63,3.9,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMBNZA01,0,-12.2,-2.5,11.7,-63,9.7,24,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMCAPR10,0,-12.5,-8.3,16.3,-63,4.2,28.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMCYTS,0,-7.4,16.5,12.2,-63,23.9,19.6,Minimum,Minimum,Correct TS,Correct TS
AMDOIS,0,-11.2,20.9,10.1,-63,32,21.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMEBAC01,0,-12.5,-9.9,12.5,-63,2.6,25,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMEMEL,0,-3.8,-4.3,11.8,-63,-0.4,15.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMENAI,0,0.3,-10,10202,-63,-10,10202,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
AMEROZ,0,-11.3,-6,14.9,-63,5.3,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMETMA,0,-6.7,3.9,12.1,-63,10.6,18.9,Not Minimum,Minimum,Incorrect TS,Correct TS
AMEVOF,0,-6,-5.1,9.6,-63,1,15.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMHPYR,0,-4.7,-7.1,16.4,-63,-2.4,21.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMIMCA,0,-3.4,-3.5,15.3,-63,-0.1,18.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMIMDZ,0,-11.6,48.1,16.5,-63,59.6,28,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMINER,0,-4.4,-7.6,13.1,-63,-3.2,17.4,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMITDZ,0,-11.1,21.2,17.7,-63,32.3,28.8,Minimum,Minimum,Incorrect TS,Correct TS
AMNPHA,0,-11.1,0.3,8.3,-63,11.4,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMNPQH10,0,-18.6,-2.4,-5.6,-63,16.2,13,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AMOADA,0,-11.7,-14,8.7,-63,-2.3,20.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMOQEA,0,-22.6,-36.7,-1.3,-63,-14.1,21.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMOWOQ,0,-13.9,-12,12.8,-63,1.9,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPHOM03,0,-12,-3.9,9,-63,8.2,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPTRA10,0,-15.8,-25.9,6.4,-63,-10.1,22.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPTRB10,0,-17.8,-35.8,6.7,-63,-18,24.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMTURM,0,-15.5,-13.2,10.6,-63,2.3,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMURAC,0,-14.2,-10.2,11.6,-63,4,25.9,Minimum,Minimum,Incorrect TS,Correct TS
AMXPRI10,0,-10.4,-2.3,7.5,-63,8.2,18,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AMXPZT,0,-10,-23.6,10.9,-63,-13.6,20.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMXZPY10,0,-8.9,2.1,6.5,-63,11,15.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANAGUT,0,-8.8,7.7,8.9,-63,16.5,17.7,Minimum,Minimum,Correct TS,Correct TS
ANAMUZ,0,-13.6,-12.2,12.5,-63,1.3,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANAZTP10,0,-13.1,15.8,9,-63,29,22.1,Minimum,Minimum,Correct TS,Correct TS
ANITUN,0,-11.8,19.8,9.7,-63,31.6,21.5,Minimum,Minimum,Correct TS,Correct TS
ANITUO,0,-6,7.5,10.6,-63,13.5,16.5,Minimum,Minimum,Correct TS,Correct TS
ANONAL11,0,-1.9,-5.4,12.9,-63,-3.4,14.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANONEX02,0,-7,9.7,11.8,-63,16.7,18.7,Minimum,Minimum,Correct TS,Correct TS
ANONIC,0,-3.8,-13.1,10,-63,-9.3,13.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANOTUT,0,-10.8,-8.8,13.8,-63,2,24.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ANOVEG,0,-7.1,11.3,12.7,-63,18.5,19.9,Minimum,Minimum,Correct TS,Correct TS
APAKEJ,0,-4,4.9,11.1,-63,8.8,15.1,Minimum,Minimum,Correct TS,Correct TS
APAKUZ,0,-19,8.4,-2.1,-63,27.4,16.9,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
APANIQ,0,-10.6,8.7,7,-63,19.2,17.6,Minimum,Minimum,Correct TS,Correct TS
APAPIR,0,-7.8,14.5,12.2,-63,22.3,20,Minimum,Minimum,Incorrect TS,Correct TS
APAVIX,0,-5.5,10.8,10.7,-63,16.3,16.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APAWAR,0,No Value,22.8,12.9,-63,No Value,No Value,Minimum,Minimum,Correct TS,Correct TS
APEGAF,0,-5.7,9.1,9.9,-63,14.8,15.6,Minimum,Minimum,Correct TS,Correct TS
APEJEM,0,-5.7,14.9,10.9,-63,20.5,16.5,Minimum,Minimum,Incorrect TS,Correct TS
APEJUC,0,-28.4,-16.7,-13.5,-63,11.6,14.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
APENAM,0,-17.5,-8.1,-2.4,-63,9.4,15,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
APENOA,0,-36.9,-30.3,-12.4,-63,6.6,24.5,Not Minimum,Minimum,Incorrect TS,Correct TS
APEVAU,0,-4,14.6,15.2,-63,18.6,19.1,Minimum,Minimum,Correct TS,Correct TS
APFPTS,0,-28.7,-14.8,5.2,-63,13.9,33.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APGPHI,0,-0.8,-14.3,20.3,-63,-13.5,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APIDUZ,0,-7.8,11.9,13.4,-63,19.7,21.2,Minimum,Minimum,Correct TS,Correct TS
APIFAH,0,-11.7,6.8,8.8,-63,18.5,20.5,Minimum,Minimum,Correct TS,Correct TS
APIXAA,0,-21.9,-13.2,-13.5,-63,8.7,8.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
APIXEE,0,-17.7,-8.1,-9.2,-63,9.6,8.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
