Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
BOJYUV,93.3,194.5,2.58,6.63,9.63,30.8,22.4,15.1,617.11,-3.0168,-1.5384,1.94,1.99,1.92,0.4095,-0.246,-0.6898,-0.5224,1.7822,2.9032,2.0527,2.0359,28.7168,7.2888,8.5713,8.5013,0.6204,0.5109,0.3896,3.1673,1.3072,1.368,1.3216,6.3537,12.4346,4.118,4.1874,4.1293,9.8021,1.9053,1.9549,1.9826,1.9764,1.9828,1.5439,1.5738,1.6601,0.4016,0.0921,0.0619,0.0832,0.0762,0.0883,1.5296,1.6215,1.4956,0.3826,0.0929,0.0792,0.0603,0.0871,0.0631,41.3
VIFBUK,81.23,187.55,2.61,7.09,7.59,35.5,29.1,20,628.24,-4.221,-3.3556,2.01,2.04,1.87,0.4353,-0.2539,0.2053,-0.5087,1.9615,2.9851,3.1705,2.0746,28.7119,7.3121,6.9814,8.4705,0.7196,0.5295,0.3896,3.1658,1.1905,1.4071,1.4097,6.3681,12.4254,4.1085,4.1832,4.1338,9.7711,1.9465,1.9745,1.9312,1.9816,1.9373,1.2948,1.1538,1.0667,0.1354,0.0201,0.0224,0.0328,0.0338,0.0263,1.4793,1.5052,1.6432,0.3794,0.0859,0.0691,0.0768,0.0613,0.0863,35
DAWVAB,92.39,193.81,2.62,8.34,9.7,30.8,22.6,17.3,683.42,-2.9838,-1.7848,1.93,2,1.92,0.407,-0.2464,-0.7007,-0.5215,1.8051,2.9043,2.0352,2.0314,28.7347,7.2808,8.5707,8.5111,0.6202,0.5301,0.3896,3.1679,1.2551,1.3746,1.3671,6.3592,12.4365,4.1352,4.1731,4.1282,9.7973,1.923,1.9819,1.9785,1.98,1.9338,1.543,1.597,1.6472,0.4029,0.092,0.0635,0.0843,0.079,0.084,1.4854,1.5107,1.6468,0.3856,0.07,0.0662,0.0915,0.0588,0.0992,42.9
BOCWUN,94.9,193.51,1.89,5.4,5.8,30.3,22,10.8,465.89,-2.9235,-0.4223,2,2.01,1.92,0.4027,-0.2455,-0.5689,-0.5689,1.6252,2.8958,2.0604,2.0495,28.6755,7.2974,8.5406,8.5389,0.6171,0.3979,0.3897,3.1674,1.2178,1.3718,1.4063,6.3501,12.4215,4.1148,4.149,4.1577,9.8258,1.9307,1.954,1.9714,1.9755,1.9942,1.4971,1.5725,1.6247,0.3821,0.0843,0.0793,0.0756,0.0739,0.069,1.4961,1.5706,1.627,0.3806,0.0765,0.0815,0.0668,0.0764,0.0795,41.6
COSFAU,79.87,193.63,1.79,6.04,6.43,33.4,23.9,13.3,487.98,-3.8754,-2.1983,2.02,2.07,1.9,0.2242,-0.2687,-0.0982,-0.1288,1.818,2.9554,3.2198,3.1365,28.7888,7.3088,7.0354,7.1058,0.6759,0.4706,0.3897,3.1687,1.4184,1.3456,1.2549,6.4369,12.5003,4.1485,4.1797,4.1722,9.8385,1.9377,1.9733,1.9691,1.9561,2.0023,1.3526,1.2858,1.1703,0.1183,0.0154,0.0238,0.0345,0.0181,0.0264,1.2927,1.2045,1.3827,0.0909,0.0217,0.0109,0.0241,0.0137,0.0205,35.5
NILLAX,92.04,193.33,2.4,8.8,9.82,30,20.2,13.5,686.84,-3.1462,-1.9981,1.93,2,1.91,0.4185,-0.2475,-0.6805,-0.5127,1.8186,2.9092,2.0468,2.0548,28.7141,7.2847,8.5652,8.5019,0.6292,0.513,0.3897,3.1675,1.2361,1.3884,1.374,6.3569,12.4314,4.1134,4.1894,4.1286,9.7932,1.9341,1.9822,1.9779,1.9759,1.9232,1.5756,1.5708,1.6261,0.4,0.0838,0.0537,0.0966,0.0624,0.1034,1.4954,1.5098,1.646,0.3617,0.0632,0.0605,0.0891,0.0504,0.0985,42.5
UHELAV,87.46,191.38,2.93,8.01,11.43,33.6,24.8,16,660.45,-4.0686,-2.7638,2.05,2.11,1.88,0.263,-0.2691,-0.1203,-0.1112,1.8457,2.947,3.1221,3.0726,28.7891,7.3306,7.1166,7.0614,0.6873,0.4799,0.3898,3.1665,1.421,1.3802,1.2195,6.4174,12.4792,4.1379,4.1725,4.1688,9.8404,1.9339,1.9812,1.9814,1.9505,1.9934,1.2771,1.3809,1.2088,0.0929,0.0103,0.0216,0.027,0.0119,0.0222,1.2633,1.2276,1.3624,0.0929,0.0192,0.0128,0.0215,0.012,0.0274,34.2
FEMFAE,81.03,217.28,4.83,8.21,7.09,49.1,46.5,34.1,801.29,-3.7298,-1.618,2.15,2.05,1.9,0.3749,-0.2444,-0.2309,-0.5305,1.6126,3.0032,2.5951,2.0783,28.7089,7.274,7.5084,8.4807,0.6938,0.2415,0.39,3.1616,1.3288,1.3234,1.3483,6.3689,12.4086,4.0671,4.1993,4.1422,9.8476,1.966,1.9749,1.9463,1.9578,2.0027,1.2913,1.4083,1.2859,0.0792,0.0172,0.0174,0.0093,0.0167,0.0186,1.4635,1.4699,1.6899,0.418,0.0969,0.0721,0.0958,0.064,0.0892,35.5
YAPJEH,62.9,179.19,3.26,8.38,9.26,31,26.2,21.1,659.85,-3.1574,-1.9663,2.04,2.13,1.86,0.396,-0.2572,-0.6319,-0.5593,1.6943,2.9371,1.916,1.9689,28.8474,7.3322,8.5651,8.5156,0.6848,0.4588,0.3902,3.1588,1.2796,1.4077,1.3264,6.4265,12.3657,4.1259,4.1466,4.0932,9.8118,1.9085,1.9699,1.9698,1.9768,1.9868,1.6219,1.4823,1.6186,0.3823,0.0735,0.0684,0.0926,0.0628,0.085,1.525,1.6658,1.5071,0.3266,0.062,0.0765,0.0663,0.0505,0.0714,41.7
OJECEN,85.65,238.41,2.08,7.32,5.62,46.8,33.7,16.9,508.01,-3.1862,0.2186,1.98,2.03,1.92,0.2892,-0.2186,-0.2051,-0.6213,1.8026,3.0639,2.7095,1.9084,28.8117,7.2446,7.3824,8.5129,0.6226,0.5072,0.3902,3.1624,1.3958,1.3582,1.2176,6.3903,12.4893,4.1672,4.1554,4.1668,9.8311,1.9028,1.9819,1.9829,1.9735,1.9901,1.4194,1.3875,1.1646,0.0799,0.0069,0.0256,0.0191,0.0105,0.0177,1.5,1.5617,1.6724,0.3675,0.0844,0.0798,0.0608,0.0779,0.0646,58.8
SLBZAC01,63.46,157.97,2.14,5.37,9.21,27.5,18.8,11.7,493.73,-3.0075,-0.8715,1.99,2.16,1.86,0.3849,-0.2612,-0.5577,-0.5392,1.7192,2.9264,1.9889,1.9595,28.9354,7.3263,8.5093,8.5015,0.688,0.6033,0.3902,3.1618,1.3378,1.3255,1.3521,6.4407,12.3684,4.1328,4.1336,4.102,9.806,1.902,1.976,1.9812,1.9861,1.9608,1.6508,1.5669,1.4822,0.3363,0.0562,0.0771,0.085,0.0527,0.0653,1.4758,1.5661,1.6291,0.3287,0.0763,0.0779,0.0535,0.07,0.0511,48.1
NABKAF,85.62,196.98,2.32,11.62,8.44,33.5,26.2,19.9,838.24,-3.3277,-1.546,2,2.03,1.9,0.4378,-0.2478,-0.705,-0.4997,1.7463,2.9419,1.8939,2.0921,28.7682,7.2907,8.6364,8.4733,0.6626,0.4621,0.3903,3.1653,1.4032,1.3671,1.2304,6.3625,12.3969,4.1817,4.1534,4.0617,9.8028,1.9239,1.9733,1.9729,1.9726,1.9602,1.5926,1.5692,1.5882,0.4507,0.0931,0.0822,0.1038,0.0656,0.106,1.4595,1.59,1.5972,0.3541,0.0626,0.0653,0.0738,0.0703,0.0821,41.6
PALQUQ,81.49,221.05,2.7,11.31,6.33,42.5,34.8,21.2,673.53,-3.6989,-1.9556,2.06,2.07,1.9,0.3865,-0.2363,-0.4812,-0.1329,1.7781,3.0385,2.1377,3.0868,28.7515,7.2319,8.4724,7.2644,0.6874,0.3568,0.3904,3.1604,1.3897,1.2146,1.3895,6.361,12.4203,4.2087,4.1116,4.1,9.8323,1.958,1.9968,1.9818,1.922,1.9736,1.496,1.5299,1.5952,0.3654,0.0837,0.0698,0.0648,0.0739,0.0732,1.2397,1.4051,1.2402,0.0819,0.0198,0.0154,0.0192,0.0122,0.0153,33.4
BOXFIF,84.99,213.96,1.78,8.93,9.22,29.4,21.2,18,702.41,-2.7347,-1.5632,1.95,2.03,1.91,0.3555,-0.2495,-0.8475,-0.6088,1.8252,2.8976,1.8824,2.0799,28.8281,7.2853,8.5354,8.4789,0.6238,0.5811,0.3905,3.1672,1.3422,1.2245,1.4328,6.4086,12.4481,4.1736,4.1147,4.1598,9.7879,1.9501,1.9313,1.971,1.9695,1.966,1.614,1.5527,1.7218,0.3931,0.0839,0.0604,0.0863,0.0903,0.0724,1.4541,1.6666,1.5597,0.4021,0.072,0.0753,0.0991,0.0618,0.0939,42.2
RAHRAV,81.18,228.36,1.93,6.95,6.28,40.2,28.6,14.4,489.3,-4.1291,-2.9079,1.99,2.13,1.9,0.2866,-0.2451,-0.1354,-0.0569,1.8696,2.997,3.2419,3.1666,28.7489,7.2988,7.1362,6.9902,0.6762,0.4911,0.3907,3.1665,1.3159,1.2695,1.4118,6.4086,12.4742,4.1425,4.195,4.1367,9.8306,1.949,1.9569,1.9707,1.9748,1.9792,1.2592,1.2072,1.4219,0.0919,0.0203,0.0084,0.0301,0.0109,0.0222,1.2801,1.3247,1.1616,0.122,0.018,0.0191,0.0337,0.0226,0.0285,34.5
SASJAY,84.33,192.21,3.08,7.29,11.01,39.7,32.5,21.4,697.21,-3.0029,-1.539,1.95,2.03,1.9,0.3147,-0.2533,-0.8552,-0.0998,1.9646,2.9721,1.8002,3.1254,28.8542,7.2844,8.6258,6.9513,0.6552,0.6003,0.3907,3.1633,1.2227,1.4026,1.3814,6.3977,12.4809,4.0834,4.2062,4.1913,9.8067,1.9523,1.9573,1.9381,1.9619,1.9971,1.5373,1.6164,1.7002,0.4373,0.1016,0.0764,0.0931,0.1008,0.0653,1.3465,1.2876,1.2116,0.0944,0.0134,0.0208,0.021,0.0217,0.0175,39.3
FETNID01,79.59,244.76,1.74,8.83,6.52,42,29.4,17.6,606.84,-4.593,-4.0953,1.98,2.01,1.89,0.5774,-0.2113,0.2545,-0.5047,2.6367,3.0139,3.0546,2.0839,28.7438,7.2198,6.9904,8.4541,0.6795,0.6452,0.3908,3.157,1.3222,1.3245,1.3294,6.2687,12.4985,4.1354,4.2223,4.1409,9.6554,1.8667,1.9841,1.9451,1.9794,1.88,1.1551,1.199,1.1201,0.1218,0.0168,0.021,0.0354,0.0177,0.0309,1.4929,1.5812,1.5342,0.3895,0.0823,0.0772,0.0725,0.0759,0.0817,26.1
EROGAU,81.2,190.57,2.15,5.54,7.55,31.2,21.2,12.4,461.25,-3.9763,-3.134,1.99,2.06,1.87,0.3699,-0.2595,-0.5602,-0.0814,1.8377,2.9743,2.1813,3.1636,28.7196,7.3245,8.4536,7.0825,0.7065,0.45,0.3909,3.1657,1.3969,1.3304,1.2841,6.3895,12.4438,4.1342,4.16,4.1497,9.7968,1.9365,1.9624,1.9547,1.9388,2.0045,1.4531,1.6549,1.5435,0.3944,0.0836,0.0801,0.0837,0.0613,0.0858,1.2757,1.2033,1.3566,0.0915,0.0217,0.0104,0.0241,0.0114,0.0239,34.2
BAMACR,62.76,155.97,1.7,3.31,7.19,24,14.4,7.7,408.31,-3.1478,-1.3499,2.06,2.12,1.87,0.3837,-0.2583,-0.5794,-0.5911,1.6484,2.9205,1.9147,1.9412,28.8245,7.3277,8.5211,8.5253,0.6764,0.4304,0.3914,3.1605,1.3956,1.422,1.1961,6.4397,12.3618,4.1378,4.1551,4.069,9.8147,1.9265,1.9563,1.9542,1.9971,1.9806,1.6691,1.4627,1.5825,0.3315,0.0869,0.0461,0.0648,0.0653,0.0684,1.4787,1.6943,1.5504,0.3297,0.081,0.0657,0.0491,0.0821,0.0519,38.1
CADFIA,77.93,212.41,2.85,6.01,5.77,49.7,35.6,16.8,518.39,-3.8588,-2.4804,2.15,2.09,1.93,0.2383,-0.2619,-0.3727,-0.1162,1.8575,2.9321,2.91,3.0792,28.7066,7.2848,7.7105,7.1085,0.6576,0.245,0.3915,3.1718,1.238,1.4157,1.3569,6.4154,12.4923,4.1141,4.216,4.1622,9.854,1.9847,1.9619,1.9451,1.9759,1.9863,1.3088,1.3113,1.4839,0.0633,0.012,0.011,0.0102,0.0212,0.009,1.3163,1.2183,1.2738,0.1181,0.0249,0.0239,0.0199,0.0359,0.0134,42.4
WUWHUS,85.32,206.54,2.36,7.12,6.21,36.1,24.8,13.5,480.59,-2.4627,-1.9649,1.9,2.02,1.88,0.3214,-0.2437,-0.9266,-0.1896,2.1084,2.885,1.8882,2.8335,28.8175,7.2752,8.5394,7.2133,0.6279,0.6482,0.3918,3.165,1.2078,1.3878,1.3993,6.4155,12.5066,4.0958,4.2095,4.2013,9.7565,1.9704,1.9325,1.9612,1.9667,1.9257,1.6148,1.5917,1.7296,0.4214,0.0923,0.0816,0.087,0.0809,0.0796,1.2925,1.367,1.2898,0.0804,0.0197,0.0163,0.0176,0.0128,0.0139,45.8
TOKQUF,87.68,189.69,2.37,8.5,8.1,29.3,20.6,15,579.47,-4.6279,-3.7799,1.82,2.14,1.9,0.5552,-0.1816,-0.5062,-0.5318,2.6581,3.0499,2.2676,2.0352,28.818,7.1287,8.5297,8.4789,0.5619,0.6809,0.3918,3.1571,1.351,1.2232,1.3661,6.2209,12.5091,4.1693,4.1659,4.1738,9.7149,1.9362,1.9883,1.8956,1.8939,2.0008,1.4491,1.4694,1.7059,0.3993,0.0884,0.0981,0.0533,0.1017,0.0578,1.5288,1.5127,1.593,0.3542,0.0601,0.097,0.0571,0.0785,0.0615,20.9
VAKVEK,62.56,155.47,2.08,9.18,10.15,24.5,16.7,11.2,602.69,-3.1495,-0.7944,2.07,2.13,1.86,0.3816,-0.2583,-0.5896,-0.5662,1.6488,2.9201,1.9002,1.9771,28.8451,7.3243,8.5247,8.5107,0.6777,0.4396,0.392,3.1605,1.3097,1.3643,1.3396,6.4418,12.3591,4.1104,4.1496,4.0991,9.8174,1.9094,1.973,1.9733,1.9743,1.9873,1.6041,1.4835,1.627,0.3448,0.0674,0.0572,0.0838,0.0533,0.0831,1.5342,1.678,1.5035,0.3106,0.0512,0.0744,0.0697,0.0456,0.0698,39.5
UREDAX,82.72,204,1.85,10.15,5.64,36.9,27.7,15.1,595.54,-3.3357,-1.5931,1.97,2.09,1.91,0.1949,-0.2699,-0.1905,-0.1907,1.8644,2.9125,3.1957,3.0121,28.8443,7.3159,7.1325,7.0736,0.6477,0.535,0.392,3.1698,1.4119,1.2641,1.3423,6.4468,12.5172,4.1722,4.1642,4.1808,9.8412,1.9615,1.9434,1.9766,1.9594,2.0003,1.3552,1.2229,1.3427,0.0944,0.0249,0.0136,0.0202,0.0132,0.0226,1.3279,1.371,1.2216,0.0853,0.0113,0.0186,0.022,0.0169,0.0165,36.6
PERBEU,62.95,207.06,2.88,7.09,8.06,31.9,32.3,24,603.28,-3.0057,-1.8785,2.1,2.07,1.86,0.4001,-0.249,-0.5638,-0.612,1.6477,2.9371,1.9544,1.775,28.8627,7.3095,8.5022,8.506,0.7024,0.4283,0.3922,3.1591,1.3833,1.4122,1.2103,6.4235,12.3601,4.1569,4.1666,4.0366,9.8163,1.9139,1.9655,1.9695,1.9915,1.9759,1.6815,1.4633,1.5605,0.3305,0.0899,0.0449,0.0565,0.0635,0.0756,1.4606,1.6827,1.5381,0.4107,0.1148,0.065,0.0581,0.1025,0.0702,35.4
OBUXIU,79.98,228.69,1.7,9.5,6.35,38.5,27,14.8,544.95,-3.59,-1.937,1.97,2.07,1.91,0.2053,-0.2502,-0.146,0.1515,1.9444,3.0158,3.1279,3.1918,28.8926,7.2571,7.2345,7.0089,0.6623,0.5574,0.3922,3.1659,1.4154,1.2382,1.349,6.4634,12.5107,4.1572,4.1885,4.165,9.8206,1.9523,1.9242,1.9678,1.9815,1.9949,1.3883,1.1955,1.2909,0.1084,0.0219,0.0138,0.0282,0.0134,0.0311,1.27,1.254,1.0461,0.136,0.0169,0.0282,0.0362,0.0279,0.0268,48.5
KACQAG,62.69,155.54,2.56,5.46,10.21,24.9,16.7,12.4,578.39,-3.223,-1.5757,2.07,2.13,1.86,0.3923,-0.2592,-0.5239,-0.5213,1.6939,2.9221,2.012,2.0048,28.8595,7.3262,8.4943,8.4881,0.6864,0.4629,0.3923,3.1606,1.3376,1.4128,1.2644,6.4362,12.3561,4.1204,4.1595,4.0761,9.8155,1.9205,1.9612,1.9631,1.9852,1.9855,1.6299,1.4577,1.5974,0.3086,0.0755,0.0432,0.066,0.0471,0.0769,1.4915,1.6859,1.5046,0.3027,0.0643,0.0717,0.0534,0.0568,0.0564,38.6
XORJEW,89.26,188.12,1.52,6.95,10.05,30.2,21.1,13.2,575.2,-3.6847,-3.0352,2.01,1.99,1.9,0.4643,-0.249,-0.5928,-0.4881,1.7937,2.9399,2.1122,2.0539,28.672,7.3023,8.5186,8.4919,0.6668,0.3956,0.3924,3.1669,1.2622,1.4033,1.3357,6.3414,12.4004,4.073,4.185,4.1423,9.794,1.9423,1.9449,1.9475,1.9661,1.9931,1.5289,1.6011,1.5832,0.3734,0.082,0.0613,0.0777,0.0719,0.0805,1.5114,1.6326,1.4813,0.3752,0.0904,0.0793,0.0632,0.0806,0.0617,36.1
DUKXAL,63.11,162.51,2.13,7.6,10.76,26.5,20.1,15,664.75,-3.2354,-2.9462,2.03,2.12,1.86,0.4038,-0.2585,-0.5773,-0.5606,1.7501,2.9383,1.916,1.9581,28.8401,7.3295,8.5326,8.5301,0.6881,0.4766,0.3926,3.1612,1.2817,1.3087,1.4229,6.4272,12.3686,4.079,4.1578,4.1319,9.8003,1.929,1.9652,1.9523,1.9729,1.981,1.5583,1.5048,1.6476,0.3394,0.0645,0.0626,0.0857,0.0434,0.0832,1.582,1.646,1.4861,0.3087,0.0391,0.069,0.0807,0.0401,0.0799,45.8
WOBNEG,79.87,219.85,1.84,9.23,8.7,37.3,27.3,16.6,611.73,-3.6921,-2.556,2.01,2.12,1.89,0.3686,-0.2515,-0.612,-0.0579,1.8331,2.9612,2.1124,3.148,28.7623,7.2889,8.538,7.0493,0.6956,0.4488,0.3927,3.1617,1.3601,1.2391,1.4089,6.3819,12.4263,4.1364,4.1645,4.1254,9.8231,1.9549,1.9662,1.9791,1.9385,1.9844,1.5601,1.5089,1.6332,0.3983,0.0842,0.0582,0.0978,0.0545,0.1036,1.2026,1.4565,1.1187,0.1147,0.0165,0.0249,0.0241,0.0189,0.0303,33.6
CUKTUA,81.78,209.66,2,9.71,9.84,35.3,26,16.4,657.58,-3.3093,-2.321,2,2.05,1.91,0.3258,-0.2593,-0.238,-0.5959,1.8005,2.9239,2.9766,2.1167,28.7932,7.3008,7.2274,8.4526,0.6536,0.4811,0.3928,3.1689,1.4006,1.4131,1.1954,6.4128,12.4487,4.1871,4.1272,4.1344,9.8127,1.9456,1.9566,1.9846,1.9406,1.9852,1.4309,1.1819,1.3996,0.0812,0.0261,0.0087,0.0167,0.0107,0.0191,1.4429,1.6673,1.5647,0.3898,0.0787,0.0773,0.0862,0.0569,0.0906,38.5
KUFTEM,77.91,223.3,1.85,6.73,8.45,37.4,26.8,14.8,523.67,-3.6739,-2.6199,2.09,2.08,1.9,0.4041,-0.2445,-0.0252,-0.5963,1.781,2.9509,3.1429,2.0743,28.768,7.284,7.0004,8.5452,0.6982,0.4373,0.3929,3.1633,1.3362,1.2432,1.4208,6.3785,12.4013,4.1277,4.1801,4.0934,9.8161,1.9332,1.9697,1.9681,1.9533,1.9918,1.1954,1.446,1.124,0.1177,0.0163,0.0257,0.0233,0.0201,0.0322,1.5631,1.5195,1.6166,0.3745,0.0765,0.0567,0.0971,0.0535,0.0907,34.5
UMIYUM,63.19,157.54,2.59,4.84,9.06,24.3,16,11.5,505.59,-2.9565,-0.1198,2.03,2.12,1.86,0.3707,-0.2585,-0.5821,-0.5989,1.6878,2.9259,1.9679,1.907,28.8764,7.3281,8.5288,8.5374,0.6805,0.4995,0.3929,3.1607,1.2649,1.3261,1.4223,6.443,12.3723,4.1166,4.1292,4.1265,9.814,1.9061,1.9759,1.9733,1.982,1.9767,1.6425,1.6023,1.4802,0.3268,0.0456,0.0803,0.0772,0.047,0.0768,1.5205,1.5374,1.6622,0.3427,0.0629,0.0828,0.0725,0.0587,0.0658,41.4
QIYPOF,83.72,181.83,1.52,7.24,9.57,30,20.9,15.1,656,-3.6111,-2.5421,2.01,2.02,1.9,0.4531,-0.2529,-0.4843,-0.6354,1.7497,2.9347,2.1045,2.0568,28.7108,7.3124,8.4707,8.5466,0.6731,0.3907,0.393,3.1671,1.2246,1.3873,1.393,6.3572,12.3874,4.0518,4.1874,4.1483,9.8023,1.9495,1.9521,1.952,1.9629,1.9857,1.4751,1.6048,1.5562,0.3594,0.0759,0.0817,0.0617,0.0821,0.058,1.4928,1.5541,1.6685,0.416,0.0876,0.0677,0.091,0.0996,0.07,44.5
EFUDIV,62.8,156.04,2.09,12.06,12.15,24,14.1,9.6,770.53,-3.2132,-2.2302,2.06,2.12,1.87,0.3906,-0.2584,-0.5805,-0.5723,1.6649,2.9201,1.9489,1.9291,28.8288,7.3257,8.5385,8.5349,0.6784,0.4485,0.393,3.1607,1.3832,1.4047,1.2259,6.4352,12.3583,4.1267,4.1825,4.0491,9.8158,1.9118,1.977,1.9721,1.9972,1.9577,1.6632,1.4709,1.5796,0.3352,0.0878,0.0466,0.0628,0.064,0.074,1.4791,1.7005,1.5306,0.3253,0.0792,0.0656,0.0455,0.0787,0.0563,38.8
FUGTUW,94.39,195.59,3.16,6.65,10.22,37.1,28.7,20.7,687.03,-3.3981,-1.3746,1.92,2.04,1.9,0.4316,-0.2447,-0.7914,-0.4454,1.9587,2.9244,2.0052,2.1059,28.8314,7.275,8.5354,8.4476,0.6539,0.6293,0.393,3.1668,1.3185,1.4041,1.2743,6.3702,12.4212,4.1042,4.1966,4.1203,9.777,1.9208,1.9689,1.965,1.9744,1.9479,1.7444,1.5103,1.5774,0.441,0.1054,0.0502,0.1107,0.0692,0.1054,1.5895,1.6018,1.4065,0.3445,0.067,0.0646,0.0596,0.0746,0.0787,42.3
BAMCUP,78.27,187.35,3.5,7.09,9.27,37.1,28,18.5,642.05,-3.8459,-2.0759,2.24,2.03,1.9,0.3913,-0.245,-0.173,-0.5001,1.5479,3.0032,2.843,2.0791,28.6931,7.2823,7.1823,8.4847,0.6936,0.2161,0.3931,3.1639,1.2503,1.3601,1.3889,6.3716,12.3853,4.0806,4.1524,4.1523,9.8518,1.971,1.9644,1.9449,1.9734,1.9982,1.3023,1.4237,1.2098,0.1005,0.0131,0.0186,0.0258,0.0274,0.0156,1.4956,1.5388,1.5963,0.3776,0.0928,0.0916,0.0622,0.0802,0.0509,31.6
IBPRAC04,62.59,155.56,2.07,8.94,10.18,24.6,16.7,11.2,602.09,-3.1475,-0.8099,2.07,2.13,1.86,0.3809,-0.2584,-0.5904,-0.5659,1.649,2.9238,1.8995,1.9794,28.8466,7.3282,8.5232,8.5084,0.6802,0.4399,0.3932,3.1601,1.1976,1.3978,1.4186,6.4417,12.3602,4.0733,4.1554,4.1314,9.8173,1.9445,1.962,1.9341,1.9695,2.0072,1.5613,1.6788,1.4747,0.3453,0.0572,0.0714,0.085,0.041,0.0908,1.5738,1.4723,1.6694,0.3108,0.0652,0.0447,0.0793,0.0376,0.0839,49.1
OVUGUI,80.33,223.87,1.72,5.6,7.24,38,26.9,13.8,487.66,-4.0564,-2.9455,2.01,2.05,1.89,0.2445,-0.2686,-0.1918,-0.1184,1.8836,2.9747,3.219,3.1953,28.7903,7.305,7.2569,7.0984,0.6925,0.4668,0.3932,3.168,1.4221,1.3759,1.2216,6.4264,12.5054,4.1509,4.1716,4.1828,9.8237,1.9319,1.9701,1.9658,1.9583,1.9975,1.3474,1.3844,1.2133,0.0861,0.0105,0.0188,0.0265,0.0141,0.0162,1.3141,1.1993,1.3452,0.0912,0.0226,0.0118,0.0223,0.0159,0.0186,41.3
CUVDAZ,62.85,156.09,1.98,9.02,12.25,24,14.1,8.3,668.43,-3.1827,-2.1957,2.07,2.12,1.86,0.3871,-0.2581,-0.5839,-0.5796,1.6652,2.9202,1.94,1.9355,28.8307,7.3264,8.5378,8.5332,0.6797,0.4474,0.3933,3.1603,1.316,1.3665,1.3312,6.4365,12.3606,4.1132,4.1517,4.0957,9.8157,1.912,1.9718,1.9712,1.9714,1.9894,1.614,1.4745,1.6289,0.334,0.0701,0.0547,0.08,0.0472,0.0819,1.5295,1.6845,1.5015,0.3263,0.0583,0.0732,0.0692,0.0504,0.0752,38.3
RIJGEW,84.19,219.31,2.87,7.95,9.67,39.8,33.2,23.1,709.76,-4.0713,-2.8217,1.97,2.04,1.96,0.4089,-0.2161,0.0224,-0.5297,2.4679,2.9855,3.1225,2.0555,28.8914,7.187,7.0216,8.4973,0.5752,0.6341,0.3933,3.1696,1.389,1.2169,1.3587,6.2648,12.5285,4.1826,4.2029,4.143,9.7978,1.9519,2,1.9909,1.8975,1.9575,1.2185,1.3054,1.1781,0.1309,0.0222,0.0225,0.0349,0.0218,0.0295,1.5162,1.5324,1.5996,0.3738,0.0846,0.0722,0.0671,0.0711,0.0787,24.6
XAQVAN,80.31,193.3,2.73,7.57,9.17,31.2,22,14.8,577.27,-4.1525,-2.8894,1.98,2.08,1.88,0.3797,-0.2361,-0.6011,0.2155,1.7854,3.0357,2.1246,3.2518,28.7198,7.2752,8.539,6.9396,0.6915,0.4332,0.3936,3.1614,1.3893,1.2853,1.3177,6.3915,12.4266,4.1315,4.1433,4.1518,9.8022,1.9585,1.9496,1.9802,1.9433,1.9705,1.5339,1.4911,1.6634,0.4055,0.0851,0.0703,0.0869,0.0653,0.098,1.1102,1.3561,1.0474,0.1469,0.0134,0.0335,0.0474,0.0207,0.0318,46.7
NAWNUV,90.26,191.26,1.52,9.05,8.3,34.5,25.1,17.7,638.32,-3.1778,-1.2452,1.91,2.05,1.91,0.3997,-0.242,-0.7076,-0.6049,1.8212,2.9553,2.0579,2.0495,28.842,7.2692,8.5285,8.4936,0.6477,0.5813,0.3937,3.163,1.3163,1.2918,1.3887,6.377,12.4306,4.0692,4.1557,4.2057,9.7926,1.9738,1.9712,1.9454,1.9506,1.9516,1.5492,1.5808,1.6662,0.4041,0.0784,0.0795,0.0857,0.0787,0.0818,1.5657,1.4691,1.6683,0.3786,0.0912,0.0611,0.0782,0.0857,0.0624,48.8
